,Attribute,Value
0,Beta (5Y Monthly),1.18
1,52-Week Change 3,90.92%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,399.82
4,52 Week Low 3,192.58
5,50-Day Moving Average 3,350.62
6,200-Day Moving Average 3,306.94
7,Avg Vol (3 month) 3,35.44M
8,Avg Vol (10 day) 3,33.1M
9,Shares Outstanding 5,4.33B
10,Float,4.33B
11,% Held by Insiders 1,0.07%
12,% Held by Institutions 1,62.12%
13,"Shares Short (Jun 29, 2020) 4",33.96M
14,"Short Ratio (Jun 29, 2020) 4",0.92
15,"Short % of Float (Jun 29, 2020) 4",0.78%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.78%
17,"Shares Short (prior month May 28, 2020) 4",34.19M
18,Forward Annual Dividend Rate 4,3.28
19,Forward Annual Dividend Yield 4,0.84%
20,Trailing Annual Dividend Rate 3,3.08
21,Trailing Annual Dividend Yield 3,0.79%
22,5 Year Average Dividend Yield 4,1.57
23,Payout Ratio 4,24.08%
24,Dividend Date 3,"May 13, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,7:1
27,Last Split Date 3,"Jun 08, 2014"
28,Fiscal Year Ends,"Sep 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,21.35%
31,Operating Margin (ttm),24.48%
32,Return on Assets (ttm),12.38%
33,Return on Equity (ttm),62.09%
34,Revenue (ttm),267.98B
35,Revenue Per Share (ttm),60.10
36,Quarterly Revenue Growth (yoy),0.50%
37,Gross Profit (ttm),98.39B
38,EBITDA,77.31B
39,Net Income Avi to Common (ttm),57.22B
40,Diluted EPS (ttm),12.73
41,Quarterly Earnings Growth (yoy),-2.70%
42,Total Cash (mrq),94.05B
43,Total Cash Per Share (mrq),21.7
44,Total Debt (mrq),118.76B
45,Total Debt/Equity (mrq),151.43
46,Current Ratio (mrq),1.50
47,Book Value Per Share (mrq),18.14
48,Operating Cash Flow (ttm),75.37B
49,Levered Free Cash Flow (ttm),45.04B
