,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,54.82%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,3344.29
4,52 Week Low 3,1626.03
5,50-Day Moving Average 3,2704.33
6,200-Day Moving Average 3,2230.69
7,Avg Vol (3 month) 3,4.85M
8,Avg Vol (10 day) 3,6.29M
9,Shares Outstanding 5,498.78M
10,Float,423.02M
11,% Held by Insiders 1,15.12%
12,% Held by Institutions 1,57.69%
13,"Shares Short (Jun 29, 2020) 4",3.85M
14,"Short Ratio (Jun 29, 2020) 4",0.96
15,"Short % of Float (Jun 29, 2020) 4",0.91%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.77%
17,"Shares Short (prior month May 28, 2020) 4",3.55M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 01, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.56%
31,Operating Margin (ttm),4.72%
32,Return on Assets (ttm),4.37%
33,Return on Equity (ttm),18.58%
34,Revenue (ttm),296.27B
35,Revenue Per Share (ttm),597.63
36,Quarterly Revenue Growth (yoy),26.40%
37,Gross Profit (ttm),114.99B
38,EBITDA,36.27B
39,Net Income Avi to Common (ttm),10.56B
40,Diluted EPS (ttm),20.94
41,Quarterly Earnings Growth (yoy),-28.80%
42,Total Cash (mrq),49.29B
43,Total Cash Per Share (mrq),98.83
44,Total Debt (mrq),78.15B
45,Total Debt/Equity (mrq),119.73
46,Current Ratio (mrq),1.08
47,Book Value Per Share (mrq),130.81
48,Operating Cash Flow (ttm),39.73B
49,Levered Free Cash Flow (ttm),26.72B
