,Attribute,Value
0,Beta (5Y Monthly),1.13
1,52-Week Change 3,-40.01%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,102.70
4,52 Week Low 3,32.58
5,50-Day Moving Average 3,51.15
6,200-Day Moving Average 3,56.05
7,Avg Vol (3 month) 3,2.95M
8,Avg Vol (10 day) 3,2.08M
9,Shares Outstanding 5,1.96B
10,Float,921.36M
11,% Held by Insiders 1,0.01%
12,% Held by Institutions 1,4.11%
13,"Shares Short (Jun 29, 2020) 4",4.07M
14,"Short Ratio (Jun 29, 2020) 4",1.27
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.21%
17,"Shares Short (prior month May 28, 2020) 4",3.73M
18,Forward Annual Dividend Rate 4,1.45
19,Forward Annual Dividend Yield 4,2.74%
20,Trailing Annual Dividend Rate 3,2.02
21,Trailing Annual Dividend Yield 3,3.81%
22,5 Year Average Dividend Yield 4,3.49
23,Payout Ratio 4,153.47%
24,Dividend Date 3,"Jul 08, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.55%
31,Operating Margin (ttm),29.93%
32,Return on Assets (ttm),
33,Return on Equity (ttm),5.07%
34,Revenue (ttm),51.11B
35,Revenue Per Share (ttm),25.72
36,Quarterly Revenue Growth (yoy),-12.60%
37,Gross Profit (ttm),31.97B
38,EBITDA,19.01B
39,Net Income Avi to Common (ttm),2.92B
40,Diluted EPS (ttm),1.65
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),7.33B
43,Total Cash Per Share (mrq),3.74
44,Total Debt (mrq),103.04B
45,Total Debt/Equity (mrq),121.87
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),38.65
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
