,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,-19.14%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,58.10
4,52 Week Low 3,32.40
5,50-Day Moving Average 3,46.15
6,200-Day Moving Average 3,44.07
7,Avg Vol (3 month) 3,23.54M
8,Avg Vol (10 day) 3,17.91M
9,Shares Outstanding 5,4.22B
10,Float,4.22B
11,% Held by Insiders 1,0.04%
12,% Held by Institutions 1,73.98%
13,"Shares Short (Jun 29, 2020) 4",38.99M
14,"Short Ratio (Jun 29, 2020) 4",1.5
15,"Short % of Float (Jun 29, 2020) 4",0.92%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.92%
17,"Shares Short (prior month May 28, 2020) 4",34.4M
18,Forward Annual Dividend Rate 4,1.44
19,Forward Annual Dividend Yield 4,3.14%
20,Trailing Annual Dividend Rate 3,1.41
21,Trailing Annual Dividend Yield 3,3.05%
22,5 Year Average Dividend Yield 4,2.99
23,Payout Ratio 4,55.73%
24,Dividend Date 3,"Jul 21, 2020"
25,Ex-Dividend Date 4,"Jul 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 22, 2000"
28,Fiscal Year Ends,"Jul 26, 2019"
29,Most Recent Quarter (mrq),"Apr 24, 2020"
30,Profit Margin,21.32%
31,Operating Margin (ttm),28.62%
32,Return on Assets (ttm),9.59%
33,Return on Equity (ttm),29.74%
34,Revenue (ttm),50.57B
35,Revenue Per Share (ttm),11.91
36,Quarterly Revenue Growth (yoy),-7.50%
37,Gross Profit (ttm),32.67B
38,EBITDA,16.18B
39,Net Income Avi to Common (ttm),10.78B
40,Diluted EPS (ttm),2.52
41,Quarterly Earnings Growth (yoy),-8.90%
42,Total Cash (mrq),28.58B
43,Total Cash Per Share (mrq),6.77
44,Total Debt (mrq),17.08B
45,Total Debt/Equity (mrq),47.84
46,Current Ratio (mrq),1.59
47,Book Value Per Share (mrq),8.46
48,Operating Cash Flow (ttm),15.57B
49,Levered Free Cash Flow (ttm),12.04B
