,Attribute,Value
0,Beta (5Y Monthly),0.71
1,52-Week Change 3,15.35%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,85.97
4,52 Week Low 3,60.89
5,50-Day Moving Average 3,75.55
6,200-Day Moving Average 3,73.00
7,Avg Vol (3 month) 3,15.89M
8,Avg Vol (10 day) 3,7.1M
9,Shares Outstanding 5,1.25B
10,Float,1.25B
11,% Held by Insiders 1,0.41%
12,% Held by Institutions 1,80.77%
13,"Shares Short (Jun 29, 2020) 4",22.93M
14,"Short Ratio (Jun 29, 2020) 4",2.17
15,"Short % of Float (Jun 29, 2020) 4",1.83%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.83%
17,"Shares Short (prior month May 28, 2020) 4",24.14M
18,Forward Annual Dividend Rate 4,2.72
19,Forward Annual Dividend Yield 4,3.52%
20,Trailing Annual Dividend Rate 3,2.57
21,Trailing Annual Dividend Yield 3,3.33%
22,5 Year Average Dividend Yield 4,2.71
23,Payout Ratio 4,65.90%
24,Dividend Date 3,"Jun 28, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 27, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,21.84%
31,Operating Margin (ttm),23.12%
32,Return on Assets (ttm),5.36%
33,Return on Equity (ttm),22.29%
34,Revenue (ttm),22.72B
35,Revenue Per Share (ttm),17.94
36,Quarterly Revenue Growth (yoy),5.10%
37,Gross Profit (ttm),17.77B
38,EBITDA,6.65B
39,Net Income Avi to Common (ttm),4.96B
40,Diluted EPS (ttm),3.90
41,Quarterly Earnings Growth (yoy),-21.50%
42,Total Cash (mrq),21.02B
43,Total Cash Per Share (mrq),16.76
44,Total Debt (mrq),24.1B
45,Total Debt/Equity (mrq),108.65
46,Current Ratio (mrq),3.04
47,Book Value Per Share (mrq),17.60
48,Operating Cash Flow (ttm),9B
49,Levered Free Cash Flow (ttm),3.08B
