,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,32.65%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,1577.13
4,52 Week Low 3,1013.54
5,50-Day Moving Average 3,1446.51
6,200-Day Moving Average 3,1362.44
7,Avg Vol (3 month) 3,1.77M
8,Avg Vol (10 day) 3,1.57M
9,Shares Outstanding 5,336.16M
10,Float,613.28M
11,% Held by Insiders 1,5.75%
12,% Held by Institutions 1,70.62%
13,"Shares Short (Jun 29, 2020) 4",2.38M
14,"Short Ratio (Jun 29, 2020) 4",1.35
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.35%
17,"Shares Short (prior month May 28, 2020) 4",3.31M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,10000000:10000000
27,Last Split Date 3,"Apr 26, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,20.71%
31,Operating Margin (ttm),21.69%
32,Return on Assets (ttm),8.71%
33,Return on Equity (ttm),17.83%
34,Revenue (ttm),166.68B
35,Revenue Per Share (ttm),241.39
36,Quarterly Revenue Growth (yoy),13.30%
37,Gross Profit (ttm),89.96B
38,EBITDA,48.3B
39,Net Income Avi to Common (ttm),34.52B
40,Diluted EPS (ttm),49.57
41,Quarterly Earnings Growth (yoy),2.70%
42,Total Cash (mrq),117.23B
43,Total Cash Per Share (mrq),171.73
44,Total Debt (mrq),16.8B
45,Total Debt/Equity (mrq),8.25
46,Current Ratio (mrq),3.66
47,Book Value Per Share (mrq),297.76
48,Operating Cash Flow (ttm),53.97B
49,Levered Free Cash Flow (ttm),21.93B
