,Attribute,Value
0,Beta (5Y Monthly),0.51
1,52-Week Change 3,-41.91%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,41.86
4,52 Week Low 3,22.67
5,50-Day Moving Average 3,24.20
6,200-Day Moving Average 3,29.51
7,Avg Vol (3 month) 3,4.54M
8,Avg Vol (10 day) 3,4.2M
9,Shares Outstanding 5,4.07B
10,Float,3.99B
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,1.74%
13,"Shares Short (Jun 29, 2020) 4",15.26M
14,"Short Ratio (Jun 29, 2020) 4",2.38
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.37%
17,"Shares Short (prior month May 28, 2020) 4",13.71M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.20
21,Trailing Annual Dividend Yield 3,0.84%
22,5 Year Average Dividend Yield 4,6.26
23,Payout Ratio 4,166.67%
24,Dividend Date 3,"Apr 13, 2020"
25,Ex-Dividend Date 4,"Feb 26, 2020"
26,Last Split Factor 2,6:1
27,Last Split Date 3,"Jul 06, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.10%
31,Operating Margin (ttm),33.33%
32,Return on Assets (ttm),0.23%
33,Return on Equity (ttm),3.20%
34,Revenue (ttm),50.16B
35,Revenue Per Share (ttm),12.42
36,Quarterly Revenue Growth (yoy),-23.00%
37,Gross Profit (ttm),53.34B
38,EBITDA,
39,Net Income Avi to Common (ttm),3.62B
40,Diluted EPS (ttm),0.89
41,Quarterly Earnings Growth (yoy),-50.80%
42,Total Cash (mrq),997.08B
43,Total Cash Per Share (mrq),247.28
44,Total Debt (mrq),761.45B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),47.06
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
