,Attribute,Value
0,Beta (5Y Monthly),0.98
1,52-Week Change 3,102.31%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,69.18
4,52 Week Low 3,25.77
5,50-Day Moving Average 3,59.33
6,200-Day Moving Average 3,46.37
7,Avg Vol (3 month) 3,16.24M
8,Avg Vol (10 day) 3,14.92M
9,Shares Outstanding 5,1.55B
10,Float,858.76M
11,% Held by Insiders 1,7.60%
12,% Held by Institutions 1,50.21%
13,"Shares Short (Jun 29, 2020) 4",38.19M
14,"Short Ratio (Jun 29, 2020) 4",2.53
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",2.44%
17,"Shares Short (prior month May 28, 2020) 4",36.09M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,0.99%
31,Operating Margin (ttm),0.00%
32,Return on Assets (ttm),1.64%
33,Return on Equity (ttm),6.11%
34,Revenue (ttm),
35,Revenue Per Share (ttm),
36,Quarterly Revenue Growth (yoy),20.70%
37,Gross Profit (ttm),47.45B
38,EBITDA,
39,Net Income Avi to Common (ttm),
40,Diluted EPS (ttm),0.15
41,Quarterly Earnings Growth (yoy),-85.30%
42,Total Cash (mrq),
43,Total Cash Per Share (mrq),
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),33.38
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),6.72
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
