,Attribute,Value
0,Beta (5Y Monthly),0.73
1,52-Week Change 3,15.51%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,241.18
4,52 Week Low 3,146.71
5,50-Day Moving Average 3,211.67
6,200-Day Moving Average 3,197.35
7,Avg Vol (3 month) 3,2.02M
8,Avg Vol (10 day) 3,2.27M
9,Shares Outstanding 5,525.18M
10,Float,523.5M
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,84.26%
13,"Shares Short (Jun 29, 2020) 4",4.23M
14,"Short Ratio (Jun 29, 2020) 4",1.97
15,"Short % of Float (Jun 29, 2020) 4",0.81%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.81%
17,"Shares Short (prior month May 28, 2020) 4",4M
18,Forward Annual Dividend Rate 4,3.85
19,Forward Annual Dividend Yield 4,1.65%
20,Trailing Annual Dividend Rate 3,3.59
21,Trailing Annual Dividend Yield 3,1.54%
22,5 Year Average Dividend Yield 4,2.19
23,Payout Ratio 4,83.83%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"Jun 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 15, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.35%
31,Operating Margin (ttm),12.97%
32,Return on Assets (ttm),2.58%
33,Return on Equity (ttm),4.65%
34,Revenue (ttm),28.02B
35,Revenue Per Share (ttm),52.13
36,Quarterly Revenue Growth (yoy),-3.00%
37,Gross Profit (ttm),11.6B
38,EBITDA,8.23B
39,Net Income Avi to Common (ttm),2.32B
40,Diluted EPS (ttm),4.32
41,Quarterly Earnings Growth (yoy),10.80%
42,Total Cash (mrq),4.01B
43,Total Cash Per Share (mrq),7.64
44,Total Debt (mrq),16.87B
45,Total Debt/Equity (mrq),35.72
46,Current Ratio (mrq),0.74
47,Book Value Per Share (mrq),85.26
48,Operating Cash Flow (ttm),6.4B
49,Levered Free Cash Flow (ttm),4.66B
