,Attribute,Value
0,Beta (5Y Monthly),0.26
1,52-Week Change 3,53.03%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,170.75
4,52 Week Low 3,101.36
5,50-Day Moving Average 3,156.98
6,200-Day Moving Average 3,146.60
7,Avg Vol (3 month) 3,3.69M
8,Avg Vol (10 day) 3,2.87M
9,Shares Outstanding 5,956.45M
10,Float,793.65M
11,% Held by Insiders 1,0.15%
12,% Held by Institutions 1,79.61%
13,"Shares Short (Jun 29, 2020) 4",6.03M
14,"Short Ratio (Jun 29, 2020) 4",1.35
15,"Short % of Float (Jun 29, 2020) 4",0.77%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.63%
17,"Shares Short (prior month May 28, 2020) 4",7.39M
18,Forward Annual Dividend Rate 4,2.96
19,Forward Annual Dividend Yield 4,1.81%
20,Trailing Annual Dividend Rate 3,2.67
21,Trailing Annual Dividend Yield 3,1.63%
22,5 Year Average Dividend Yield 4,2.34
23,Payout Ratio 4,44.66%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 15, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,23.97%
31,Operating Margin (ttm),28.09%
32,Return on Assets (ttm),10.25%
33,Return on Equity (ttm),192.05%
34,Revenue (ttm),23.09B
35,Revenue Per Share (ttm),25.28
36,Quarterly Revenue Growth (yoy),15.10%
37,Gross Profit (ttm),17.6B
38,EBITDA,7.63B
39,Net Income Avi to Common (ttm),5.53B
40,Diluted EPS (ttm),6.04
41,Quarterly Earnings Growth (yoy),-65.70%
42,Total Cash (mrq),1.8B
43,Total Cash Per Share (mrq),1.98
44,Total Debt (mrq),17.63B
45,Total Debt/Equity (mrq),551.52
46,Current Ratio (mrq),1.11
47,Book Value Per Share (mrq),3.40
48,Operating Cash Flow (ttm),4.91B
49,Levered Free Cash Flow (ttm),2.83B
