,Attribute,Value
0,Beta (5Y Monthly),1.42
1,52-Week Change 3,33.48%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,142.34
4,52 Week Low 3,60.00
5,50-Day Moving Average 3,132.18
6,200-Day Moving Average 3,113.50
7,Avg Vol (3 month) 3,5.49M
8,Avg Vol (10 day) 3,3.53M
9,Shares Outstanding 5,755M
10,Float,753.32M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,78.30%
13,"Shares Short (Jun 29, 2020) 4",8.03M
14,"Short Ratio (Jun 29, 2020) 4",1.62
15,"Short % of Float (Jun 29, 2020) 4",1.06%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.06%
17,"Shares Short (prior month May 28, 2020) 4",8.61M
18,Forward Annual Dividend Rate 4,2.2
19,Forward Annual Dividend Yield 4,1.56%
20,Trailing Annual Dividend Rate 3,2.20
21,Trailing Annual Dividend Yield 3,1.57%
22,5 Year Average Dividend Yield 4,1.72
23,Payout Ratio 4,37.04%
24,Dividend Date 3,"Aug 04, 2020"
25,Ex-Dividend Date 4,"Jul 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 02, 2006"
28,Fiscal Year Ends,"Jan 30, 2020"
29,Most Recent Quarter (mrq),"Apr 30, 2020"
30,Profit Margin,6.17%
31,Operating Margin (ttm),9.66%
32,Return on Assets (ttm),10.04%
33,Return on Equity (ttm),184.65%
34,Revenue (ttm),74.08B
35,Revenue Per Share (ttm),96.62
36,Quarterly Revenue Growth (yoy),10.90%
37,Gross Profit (ttm),23.1B
38,EBITDA,8.58B
39,Net Income Avi to Common (ttm),4.56B
40,Diluted EPS (ttm),5.94
41,Quarterly Earnings Growth (yoy),27.80%
42,Total Cash (mrq),6.16B
43,Total Cash Per Share (mrq),8.15
44,Total Debt (mrq),26.26B
45,Total Debt/Equity (mrq),1530.13
46,Current Ratio (mrq),1.20
47,Book Value Per Share (mrq),2.27
48,Operating Cash Flow (ttm),6.61B
49,Levered Free Cash Flow (ttm),4.22B
