,Attribute,Value
0,Beta (5Y Monthly),1.07
1,52-Week Change 3,8.60%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,347.25
4,52 Week Low 3,199.99
5,50-Day Moving Average 3,300.93
6,200-Day Moving Average 3,290.29
7,Avg Vol (3 month) 3,4.68M
8,Avg Vol (10 day) 3,4.07M
9,Shares Outstanding 5,993.12M
10,Float,991.52M
11,% Held by Insiders 1,11.30%
12,% Held by Institutions 1,78.61%
13,"Shares Short (Jun 29, 2020) 4",4.83M
14,"Short Ratio (Jun 29, 2020) 4",1.18
15,"Short % of Float (Jun 29, 2020) 4",0.55%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.48%
17,"Shares Short (prior month May 28, 2020) 4",5.5M
18,Forward Annual Dividend Rate 4,1.6
19,Forward Annual Dividend Yield 4,0.54%
20,Trailing Annual Dividend Rate 3,1.46
21,Trailing Annual Dividend Yield 3,0.49%
22,5 Year Average Dividend Yield 4,0.59
23,Payout Ratio 4,17.77%
24,Dividend Date 3,"Aug 06, 2020"
25,Ex-Dividend Date 4,"Jul 07, 2020"
26,Last Split Factor 2,10:1
27,Last Split Date 3,"Jan 21, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,46.75%
31,Operating Margin (ttm),56.88%
32,Return on Assets (ttm),22.32%
33,Return on Equity (ttm),147.74%
34,Revenue (ttm),17B
35,Revenue Per Share (ttm),16.81
36,Quarterly Revenue Growth (yoy),3.10%
37,Gross Profit (ttm),16.88B
38,EBITDA,10.22B
39,Net Income Avi to Common (ttm),7.95B
40,Diluted EPS (ttm),7.82
41,Quarterly Earnings Growth (yoy),-9.10%
42,Total Cash (mrq),10.68B
43,Total Cash Per Share (mrq),10.64
44,Total Debt (mrq),12.47B
45,Total Debt/Equity (mrq),226.74
46,Current Ratio (mrq),1.87
47,Book Value Per Share (mrq),5.38
48,Operating Cash Flow (ttm),8.73B
49,Levered Free Cash Flow (ttm),6.85B
