,Attribute,Value
0,Beta (5Y Monthly),0.66
1,52-Week Change 3,-10.76%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,221.93
4,52 Week Low 3,124.23
5,50-Day Moving Average 3,188.26
6,200-Day Moving Average 3,189.96
7,Avg Vol (3 month) 3,3.97M
8,Avg Vol (10 day) 3,2.97M
9,Shares Outstanding 5,743.56M
10,Float,742.9M
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,68.79%
13,"Shares Short (Jun 29, 2020) 4",6M
14,"Short Ratio (Jun 29, 2020) 4",1.54
15,"Short % of Float (Jun 29, 2020) 4",0.81%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.81%
17,"Shares Short (prior month May 28, 2020) 4",7.55M
18,Forward Annual Dividend Rate 4,5
19,Forward Annual Dividend Yield 4,2.62%
20,Trailing Annual Dividend Rate 3,4.82
21,Trailing Annual Dividend Yield 3,2.53%
22,5 Year Average Dividend Yield 4,2.60
23,Payout Ratio 4,63.17%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 07, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.95%
31,Operating Margin (ttm),41.37%
32,Return on Assets (ttm),11.07%
33,Return on Equity (ttm),
34,Revenue (ttm),20.77B
35,Revenue Per Share (ttm),27.58
36,Quarterly Revenue Growth (yoy),-6.20%
37,Gross Profit (ttm),11.12B
38,EBITDA,10.24B
39,Net Income Avi to Common (ttm),5.8B
40,Diluted EPS (ttm),7.64
41,Quarterly Earnings Growth (yoy),-16.70%
42,Total Cash (mrq),5.38B
43,Total Cash Per Share (mrq),7.24
44,Total Debt (mrq),52.31B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.89
47,Book Value Per Share (mrq),-12.50
48,Operating Cash Flow (ttm),7.65B
49,Levered Free Cash Flow (ttm),4.13B
