,Attribute,Value
0,Beta (5Y Monthly),0.93
1,52-Week Change 3,52.89%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,216.38
4,52 Week Low 3,130.78
5,50-Day Moving Average 3,195.82
6,200-Day Moving Average 3,175.25
7,Avg Vol (3 month) 3,35.88M
8,Avg Vol (10 day) 3,33.45M
9,Shares Outstanding 5,7.58B
10,Float,7.47B
11,% Held by Insiders 1,1.42%
12,% Held by Institutions 1,74.09%
13,"Shares Short (Jun 29, 2020) 4",43.13M
14,"Short Ratio (Jun 29, 2020) 4",1.24
15,"Short % of Float (Jun 29, 2020) 4",0.58%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.57%
17,"Shares Short (prior month May 28, 2020) 4",40.83M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,0.98%
20,Trailing Annual Dividend Rate 3,1.99
21,Trailing Annual Dividend Yield 3,0.96%
22,5 Year Average Dividend Yield 4,1.89
23,Payout Ratio 4,32.33%
24,Dividend Date 3,"Sep 09, 2020"
25,Ex-Dividend Date 4,"Aug 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 17, 2003"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,33.36%
31,Operating Margin (ttm),37.46%
32,Return on Assets (ttm),11.84%
33,Return on Equity (ttm),44.20%
34,Revenue (ttm),138.7B
35,Revenue Per Share (ttm),18.18
36,Quarterly Revenue Growth (yoy),14.60%
37,Gross Profit (ttm),82.93B
38,EBITDA,64.09B
39,Net Income Avi to Common (ttm),46.27B
40,Diluted EPS (ttm),6.00
41,Quarterly Earnings Growth (yoy),22.10%
42,Total Cash (mrq),137.64B
43,Total Cash Per Share (mrq),18.15
44,Total Debt (mrq),84.02B
45,Total Debt/Equity (mrq),73.38
46,Current Ratio (mrq),2.90
47,Book Value Per Share (mrq),15.09
48,Operating Cash Flow (ttm),58.11B
49,Levered Free Cash Flow (ttm),36.2B
