,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,44.82%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,575.37
4,52 Week Low 3,252.28
5,50-Day Moving Average 3,453.84
6,200-Day Moving Average 3,396.72
7,Avg Vol (3 month) 3,8.01M
8,Avg Vol (10 day) 3,11.45M
9,Shares Outstanding 5,439.8M
10,Float,433.61M
11,% Held by Insiders 1,1.62%
12,% Held by Institutions 1,83.49%
13,"Shares Short (Jun 29, 2020) 4",11.02M
14,"Short Ratio (Jun 29, 2020) 4",2.07
15,"Short % of Float (Jun 29, 2020) 4",2.56%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",2.51%
17,"Shares Short (prior month May 28, 2020) 4",11.73M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,7:1
27,Last Split Date 3,"Jul 14, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.43%
31,Operating Margin (ttm),14.50%
32,Return on Assets (ttm),6.23%
33,Return on Equity (ttm),31.63%
34,Revenue (ttm),21.4B
35,Revenue Per Share (ttm),48.82
36,Quarterly Revenue Growth (yoy),27.60%
37,Gross Profit (ttm),7.72B
38,EBITDA,3.21B
39,Net Income Avi to Common (ttm),2.23B
40,Diluted EPS (ttm),4.94
41,Quarterly Earnings Growth (yoy),106.10%
42,Total Cash (mrq),5.15B
43,Total Cash Per Share (mrq),11.72
44,Total Debt (mrq),16.27B
45,Total Debt/Equity (mrq),193.42
46,Current Ratio (mrq),0.82
47,Book Value Per Share (mrq),19.12
48,Operating Cash Flow (ttm),-2.25B
49,Levered Free Cash Flow (ttm),11.26B
