,Attribute,Value
0,Beta (5Y Monthly),0.45
1,52-Week Change 3,-3.06%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,99.84
4,52 Week Low 3,69.18
5,50-Day Moving Average 3,87.29
6,200-Day Moving Average 3,87.84
7,Avg Vol (3 month) 3,1.83M
8,Avg Vol (10 day) 3,1.15M
9,Shares Outstanding 5,2.29B
10,Float,2.14B
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,11.06%
13,"Shares Short (Jun 29, 2020) 4",2.08M
14,"Short Ratio (Jun 29, 2020) 4",0.88
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.09%
17,"Shares Short (prior month May 28, 2020) 4",2.56M
18,Forward Annual Dividend Rate 4,3.09
19,Forward Annual Dividend Yield 4,3.53%
20,Trailing Annual Dividend Rate 3,3.04
21,Trailing Annual Dividend Yield 3,3.48%
22,5 Year Average Dividend Yield 4,3.36
23,Payout Ratio 4,95.58%
24,Dividend Date 3,"Mar 11, 2020"
25,Ex-Dividend Date 4,"Mar 02, 2020"
26,Last Split Factor 2,1116:1000
27,Last Split Date 3,"Apr 08, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.32%
31,Operating Margin (ttm),24.80%
32,Return on Assets (ttm),5.93%
33,Return on Equity (ttm),15.16%
34,Revenue (ttm),49.93B
35,Revenue Per Share (ttm),21.90
36,Quarterly Revenue Growth (yoy),10.90%
37,Gross Profit (ttm),34.68B
38,EBITDA,16.92B
39,Net Income Avi to Common (ttm),7.45B
40,Diluted EPS (ttm),5.26
41,Quarterly Earnings Growth (yoy),23.20%
42,Total Cash (mrq),4.76B
43,Total Cash Per Share (mrq),2.08
44,Total Debt (mrq),36.69B
45,Total Debt/Equity (mrq),71.98
46,Current Ratio (mrq),0.74
47,Book Value Per Share (mrq),22.24
48,Operating Cash Flow (ttm),14.24B
49,Levered Free Cash Flow (ttm),10.66B
