,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,337.31%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,98.96
4,52 Week Low 3,19.38
5,50-Day Moving Average 3,78.56
6,200-Day Moving Average 3,50.96
7,Avg Vol (3 month) 3,9.59M
8,Avg Vol (10 day) 3,13.14M
9,Shares Outstanding 5,1.2B
10,Float,448.03M
11,% Held by Insiders 1,1.27%
12,% Held by Institutions 1,28.53%
13,"Shares Short (Jun 29, 2020) 4",40.08M
14,"Short Ratio (Jun 29, 2020) 4",4.46
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",3.35%
17,"Shares Short (prior month May 28, 2020) 4",38.16M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-28.66%
31,Operating Margin (ttm),0.00%
32,Return on Assets (ttm),-10.73%
33,Return on Equity (ttm),-39.41%
34,Revenue (ttm),
35,Revenue Per Share (ttm),
36,Quarterly Revenue Growth (yoy),43.90%
37,Gross Profit (ttm),23.8B
38,EBITDA,
39,Net Income Avi to Common (ttm),
40,Diluted EPS (ttm),-2.09
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),
43,Total Cash Per Share (mrq),
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),37.13
46,Current Ratio (mrq),1.5
47,Book Value Per Share (mrq),3.43
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
