,Attribute,Value
0,Beta (5Y Monthly),0.59
1,52-Week Change 3,2.06%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,147.20
4,52 Week Low 3,101.42
5,50-Day Moving Average 3,131.99
6,200-Day Moving Average 3,133.54
7,Avg Vol (3 month) 3,5.6M
8,Avg Vol (10 day) 3,5.44M
9,Shares Outstanding 5,1.39B
10,Float,1.38B
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,73.53%
13,"Shares Short (Jun 29, 2020) 4",8.83M
14,"Short Ratio (Jun 29, 2020) 4",1.62
15,"Short % of Float (Jun 29, 2020) 4",0.64%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.64%
17,"Shares Short (prior month May 28, 2020) 4",11.71M
18,Forward Annual Dividend Rate 4,4.09
19,Forward Annual Dividend Yield 4,3.06%
20,Trailing Annual Dividend Rate 3,3.89
21,Trailing Annual Dividend Yield 3,2.87%
22,5 Year Average Dividend Yield 4,2.84
23,Payout Ratio 4,79.34%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Sep 02, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 28, 1996"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Jun 12, 2020"
30,Profit Margin,10.13%
31,Operating Margin (ttm),15.43%
32,Return on Assets (ttm),7.93%
33,Return on Equity (ttm),51.81%
34,Revenue (ttm),67.65B
35,Revenue Per Share (ttm),48.60
36,Quarterly Revenue Growth (yoy),-3.10%
37,Gross Profit (ttm),37.18B
38,EBITDA,12.36B
39,Net Income Avi to Common (ttm),6.85B
40,Diluted EPS (ttm),4.90
41,Quarterly Earnings Growth (yoy),-19.10%
42,Total Cash (mrq),9.12B
43,Total Cash Per Share (mrq),6.59
44,Total Debt (mrq),44.98B
45,Total Debt/Equity (mrq),357.34
46,Current Ratio (mrq),0.97
47,Book Value Per Share (mrq),9.02
48,Operating Cash Flow (ttm),9.72B
49,Levered Free Cash Flow (ttm),4.95B
