,Attribute,Value
0,Beta (5Y Monthly),1.36
1,52-Week Change 3,21.94%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,96.17
4,52 Week Low 3,58.00
5,50-Day Moving Average 3,88.00
6,200-Day Moving Average 3,81.92
7,Avg Vol (3 month) 3,9.39M
8,Avg Vol (10 day) 3,6.64M
9,Shares Outstanding 5,1.12B
10,Float,1.12B
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,79.91%
13,"Shares Short (Jun 29, 2020) 4",16.07M
14,"Short Ratio (Jun 29, 2020) 4",1.59
15,"Short % of Float (Jun 29, 2020) 4",1.43%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.43%
17,"Shares Short (prior month May 28, 2020) 4",17.34M
18,Forward Annual Dividend Rate 4,2.6
19,Forward Annual Dividend Yield 4,2.81%
20,Trailing Annual Dividend Rate 3,2.48
21,Trailing Annual Dividend Yield 3,2.68%
22,5 Year Average Dividend Yield 4,3.58
23,Payout Ratio 4,73.37%
24,Dividend Date 3,"Jun 24, 2020"
25,Ex-Dividend Date 4,"Jun 02, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 15, 2004"
28,Fiscal Year Ends,"Sep 28, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,16.36%
31,Operating Margin (ttm),33.54%
32,Return on Assets (ttm),15.73%
33,Return on Equity (ttm),117.15%
34,Revenue (ttm),24.74B
35,Revenue Per Share (ttm),21.07
36,Quarterly Revenue Growth (yoy),4.70%
37,Gross Profit (ttm),15.67B
38,EBITDA,9.69B
39,Net Income Avi to Common (ttm),4.05B
40,Diluted EPS (ttm),3.41
41,Quarterly Earnings Growth (yoy),-29.40%
42,Total Cash (mrq),9.95B
43,Total Cash Per Share (mrq),8.84
44,Total Debt (mrq),16.47B
45,Total Debt/Equity (mrq),540.85
46,Current Ratio (mrq),1.57
47,Book Value Per Share (mrq),2.70
48,Operating Cash Flow (ttm),8.34B
49,Levered Free Cash Flow (ttm),4.44B
