,Attribute,Value
0,Beta (5Y Monthly),0.82
1,52-Week Change 3,33.37%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,99.35
4,52 Week Low 3,62.55
5,50-Day Moving Average 3,92.42
6,200-Day Moving Average 3,86.64
7,Avg Vol (3 month) 3,10.87M
8,Avg Vol (10 day) 3,7.19M
9,Shares Outstanding 5,1.76B
10,Float,1.47B
11,% Held by Insiders 1,0.11%
12,% Held by Institutions 1,76.76%
13,"Shares Short (Jun 14, 2020) 4",19.76M
14,"Short Ratio (Jun 14, 2020) 4",1.94
15,"Short % of Float (Jun 14, 2020) 4",1.12%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.12%
17,"Shares Short (prior month May 14, 2020) 4",24.8M
18,Forward Annual Dividend Rate 4,4.72
19,Forward Annual Dividend Yield 4,4.87%
20,Trailing Annual Dividend Rate 3,4.50
21,Trailing Annual Dividend Yield 3,4.64%
22,5 Year Average Dividend Yield 4,3.93
23,Payout Ratio 4,77.70%
24,Dividend Date 3,"Aug 13, 2020"
25,Ex-Dividend Date 4,"Jul 13, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.77%
31,Operating Margin (ttm),41.01%
32,Return on Assets (ttm),11.80%
33,Return on Equity (ttm),
34,Revenue (ttm),34.06B
35,Revenue Per Share (ttm),22.99
36,Quarterly Revenue Growth (yoy),10.10%
37,Gross Profit (ttm),25.83B
38,EBITDA,16.04B
39,Net Income Avi to Common (ttm),8.39B
40,Diluted EPS (ttm),5.65
41,Quarterly Earnings Growth (yoy),22.60%
42,Total Cash (mrq),41.14B
43,Total Cash Per Share (mrq),27.86
44,Total Debt (mrq),67.09B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),3.14
47,Book Value Per Share (mrq),-5.02
48,Operating Cash Flow (ttm),14.12B
49,Levered Free Cash Flow (ttm),9.26B
