,Attribute,Value
0,Beta (5Y Monthly),2.54
1,52-Week Change 3,-67.09%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,159.41
4,52 Week Low 3,20.51
5,50-Day Moving Average 3,48.51
6,200-Day Moving Average 3,70.40
7,Avg Vol (3 month) 3,2.09M
8,Avg Vol (10 day) 3,2.85M
9,Shares Outstanding 5,47.63M
10,Float,46.22M
11,% Held by Insiders 1,3.30%
12,% Held by Institutions 1,97.34%
13,"Shares Short (Jun 14, 2020) 4",2.56M
14,"Short Ratio (Jun 14, 2020) 4",1.25
15,"Short % of Float (Jun 14, 2020) 4",6.15%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.38%
17,"Shares Short (prior month May 14, 2020) 4",3.56M
18,Forward Annual Dividend Rate 4,0.84
19,Forward Annual Dividend Yield 4,1.82%
20,Trailing Annual Dividend Rate 3,2.52
21,Trailing Annual Dividend Yield 3,5.46%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,29.58%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"May 12, 2020"
26,Last Split Factor 2,1:4
27,Last Split Date 3,"Jun 05, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.82%
31,Operating Margin (ttm),15.05%
32,Return on Assets (ttm),1.97%
33,Return on Equity (ttm),25.51%
34,Revenue (ttm),5.63B
35,Revenue Per Share (ttm),115.70
36,Quarterly Revenue Growth (yoy),3.60%
37,Gross Profit (ttm),1.26B
38,EBITDA,976.1M
39,Net Income Avi to Common (ttm),414.8M
40,Diluted EPS (ttm),3.07
41,Quarterly Earnings Growth (yoy),-79.90%
42,Total Cash (mrq),4.46B
43,Total Cash Per Share (mrq),93.57
44,Total Debt (mrq),21.13B
45,Total Debt/Equity (mrq),1942.39
46,Current Ratio (mrq),2.02
47,Book Value Per Share (mrq),22.84
48,Operating Cash Flow (ttm),1.18B
49,Levered Free Cash Flow (ttm),6.55B
