,Attribute,Value
0,Beta (5Y Monthly),0.27
1,52-Week Change 3,-8.39%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,87.66
4,52 Week Low 3,58.74
5,50-Day Moving Average 3,71.79
6,200-Day Moving Average 3,75.97
7,Avg Vol (3 month) 3,1.87M
8,Avg Vol (10 day) 3,2.15M
9,Shares Outstanding 5,246.89M
10,Float,245.48M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,77.00%
13,"Shares Short (Jun 14, 2020) 4",13.25M
14,"Short Ratio (Jun 14, 2020) 4",7.17
15,"Short % of Float (Jun 14, 2020) 4",6.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.37%
17,"Shares Short (prior month May 14, 2020) 4",13.25M
18,Forward Annual Dividend Rate 4,1.98
19,Forward Annual Dividend Yield 4,2.88%
20,Trailing Annual Dividend Rate 3,1.94
21,Trailing Annual Dividend Yield 3,2.82%
22,5 Year Average Dividend Yield 4,3.06
23,Payout Ratio 4,61.39%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.15%
31,Operating Margin (ttm),23.69%
32,Return on Assets (ttm),2.89%
33,Return on Equity (ttm),9.82%
34,Revenue (ttm),5.54B
35,Revenue Per Share (ttm),22.50
36,Quarterly Revenue Growth (yoy),-7.50%
37,Gross Profit (ttm),2.74B
38,EBITDA,2.33B
39,Net Income Avi to Common (ttm),783M
40,Diluted EPS (ttm),3.16
41,Quarterly Earnings Growth (yoy),-23.60%
42,Total Cash (mrq),42M
43,Total Cash Per Share (mrq),0.17
44,Total Debt (mrq),10.35B
45,Total Debt/Equity (mrq),125.81
46,Current Ratio (mrq),0.62
47,Book Value Per Share (mrq),32.75
48,Operating Cash Flow (ttm),2.07B
49,Levered Free Cash Flow (ttm),-689.25M
