,Attribute,Value
0,Beta (5Y Monthly),0.38
1,52-Week Change 3,-9.90%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,104.97
4,52 Week Low 3,65.14
5,50-Day Moving Average 3,81.51
6,200-Day Moving Average 3,88.84
7,Avg Vol (3 month) 3,3.13M
8,Avg Vol (10 day) 3,3.26M
9,Shares Outstanding 5,494.83M
10,Float,495.04M
11,% Held by Insiders 1,0.01%
12,% Held by Institutions 1,76.46%
13,"Shares Short (Jun 14, 2020) 4",7.21M
14,"Short Ratio (Jun 14, 2020) 4",2.51
15,"Short % of Float (Jun 14, 2020) 4",1.46%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.46%
17,"Shares Short (prior month May 14, 2020) 4",8.31M
18,Forward Annual Dividend Rate 4,2.8
19,Forward Annual Dividend Yield 4,3.53%
20,Trailing Annual Dividend Rate 3,2.74
21,Trailing Annual Dividend Yield 3,3.46%
22,5 Year Average Dividend Yield 4,3.35
23,Payout Ratio 4,73.66%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.09%
31,Operating Margin (ttm),18.57%
32,Return on Assets (ttm),2.38%
33,Return on Equity (ttm),9.37%
34,Revenue (ttm),15.25B
35,Revenue Per Share (ttm),30.87
36,Quarterly Revenue Growth (yoy),-7.60%
37,Gross Profit (ttm),6.5B
38,EBITDA,5.19B
39,Net Income Avi to Common (ttm),1.84B
40,Diluted EPS (ttm),3.72
41,Quarterly Earnings Growth (yoy),-13.50%
42,Total Cash (mrq),1.74B
43,Total Cash Per Share (mrq),3.51
44,Total Debt (mrq),33.33B
45,Total Debt/Equity (mrq),166.04
46,Current Ratio (mrq),0.45
47,Book Value Per Share (mrq),39.84
48,Operating Cash Flow (ttm),4.08B
49,Levered Free Cash Flow (ttm),-2.18B
