,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,-17.18%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,21.23
4,52 Week Low 3,8.11
5,50-Day Moving Average 3,13.03
6,200-Day Moving Average 3,16.00
7,Avg Vol (3 month) 3,6.66M
8,Avg Vol (10 day) 3,8.19M
9,Shares Outstanding 5,664.77M
10,Float,662.15M
11,% Held by Insiders 1,0.37%
12,% Held by Institutions 1,97.93%
13,"Shares Short (Jun 14, 2020) 4",8.66M
14,"Short Ratio (Jun 14, 2020) 4",1.26
15,"Short % of Float (Jun 14, 2020) 4",1.74%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.30%
17,"Shares Short (prior month May 14, 2020) 4",8.26M
18,Forward Annual Dividend Rate 4,0.57
19,Forward Annual Dividend Yield 4,4.13%
20,Trailing Annual Dividend Rate 3,0.55
21,Trailing Annual Dividend Yield 3,3.98%
22,5 Year Average Dividend Yield 4,3.69
23,Payout Ratio 4,125.64%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 29, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 01, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.97%
31,Operating Margin (ttm),20.95%
32,Return on Assets (ttm),3.82%
33,Return on Equity (ttm),9.02%
34,Revenue (ttm),9.88B
35,Revenue Per Share (ttm),14.87
36,Quarterly Revenue Growth (yoy),-11.80%
37,Gross Profit (ttm),2.35B
38,EBITDA,3.14B
39,Net Income Avi to Common (ttm),292M
40,Diluted EPS (ttm),0.44
41,Quarterly Earnings Growth (yoy),-6.50%
42,Total Cash (mrq),1.87B
43,Total Cash Per Share (mrq),2.82
44,Total Debt (mrq),21.09B
45,Total Debt/Equity (mrq),441.49
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),3.82
48,Operating Cash Flow (ttm),2.08B
49,Levered Free Cash Flow (ttm),-410.12M
