,Attribute,Value
0,Beta (5Y Monthly),2.26
1,52-Week Change 3,-5.20%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,99.04
4,52 Week Low 3,29.22
5,50-Day Moving Average 3,74.41
6,200-Day Moving Average 3,76.06
7,Avg Vol (3 month) 3,2.68M
8,Avg Vol (10 day) 3,2.54M
9,Shares Outstanding 5,270.03M
10,Float,253.16M
11,% Held by Insiders 1,0.46%
12,% Held by Institutions 1,99.99%
13,"Shares Short (Jun 14, 2020) 4",6.91M
14,"Short Ratio (Jun 14, 2020) 4",1.82
15,"Short % of Float (Jun 14, 2020) 4",2.98%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.56%
17,"Shares Short (prior month May 14, 2020) 4",3.95M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.88
21,Trailing Annual Dividend Yield 3,1.15%
22,5 Year Average Dividend Yield 4,1.29
23,Payout Ratio 4,9.70%
24,Dividend Date 3,"Feb 18, 2020"
25,Ex-Dividend Date 4,"Feb 03, 2020"
26,Last Split Factor 2,1193:1000
27,Last Split Date 3,"Dec 04, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.58%
31,Operating Margin (ttm),9.27%
32,Return on Assets (ttm),5.56%
33,Return on Equity (ttm),53.05%
34,Revenue (ttm),14.01B
35,Revenue Per Share (ttm),54.74
36,Quarterly Revenue Growth (yoy),-9.80%
37,Gross Profit (ttm),2.65B
38,EBITDA,2.01B
39,Net Income Avi to Common (ttm),2.32B
40,Diluted EPS (ttm),9.06
41,Quarterly Earnings Growth (yoy),555.00%
42,Total Cash (mrq),2.06B
43,Total Cash Per Share (mrq),8.06
44,Total Debt (mrq),6.62B
45,Total Debt/Equity (mrq),128.57
46,Current Ratio (mrq),1.69
47,Book Value Per Share (mrq),19.50
48,Operating Cash Flow (ttm),1.7B
49,Levered Free Cash Flow (ttm),1.01B
