,Attribute,Value
0,Beta (5Y Monthly),0.60
1,52-Week Change 3,61.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,77.63
4,52 Week Low 3,44.81
5,50-Day Moving Average 3,73.01
6,200-Day Moving Average 3,63.62
7,Avg Vol (3 month) 3,8.41M
8,Avg Vol (10 day) 3,7.55M
9,Shares Outstanding 5,770.48M
10,Float,761.89M
11,% Held by Insiders 1,1.37%
12,% Held by Institutions 1,92.22%
13,"Shares Short (Jun 14, 2020) 4",9.36M
14,"Short Ratio (Jun 14, 2020) 4",1.19
15,"Short % of Float (Jun 14, 2020) 4",1.23%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.21%
17,"Shares Short (prior month May 14, 2020) 4",12.9M
18,Forward Annual Dividend Rate 4,0.41
19,Forward Annual Dividend Yield 4,0.54%
20,Trailing Annual Dividend Rate 3,0.41
21,Trailing Annual Dividend Yield 3,0.54%
22,5 Year Average Dividend Yield 4,0.63
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"May 05, 2020"
25,Ex-Dividend Date 4,"Apr 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 07, 2008"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.19%
31,Operating Margin (ttm),27.15%
32,Return on Assets (ttm),5.83%
33,Return on Equity (ttm),12.68%
34,Revenue (ttm),6.45B
35,Revenue Per Share (ttm),8.40
36,Quarterly Revenue Growth (yoy),-2.00%
37,Gross Profit (ttm),4.4B
38,EBITDA,2.06B
39,Net Income Avi to Common (ttm),1.56B
40,Diluted EPS (ttm),2.02
41,Quarterly Earnings Growth (yoy),13.00%
42,Total Cash (mrq),5.98B
43,Total Cash Per Share (mrq),7.76
44,Total Debt (mrq),2.68B
45,Total Debt/Equity (mrq),20.54
46,Current Ratio (mrq),2.78
47,Book Value Per Share (mrq),16.90
48,Operating Cash Flow (ttm),1.53B
49,Levered Free Cash Flow (ttm),1.96B
