,Attribute,Value
0,Beta (5Y Monthly),1.45
1,52-Week Change 3,-51.96%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,391.00
4,52 Week Low 3,89.00
5,50-Day Moving Average 3,163.20
6,200-Day Moving Average 3,228.07
7,Avg Vol (3 month) 3,45.21M
8,Avg Vol (10 day) 3,59.43M
9,Shares Outstanding 5,564.32M
10,Float,532.82M
11,% Held by Insiders 1,0.13%
12,% Held by Institutions 1,66.60%
13,"Shares Short (Jun 14, 2020) 4",12.05M
14,"Short Ratio (Jun 14, 2020) 4",0.23
15,"Short % of Float (Jun 14, 2020) 4",2.14%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.14%
17,"Shares Short (prior month May 14, 2020) 4",17.57M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,8.22
21,Trailing Annual Dividend Yield 3,4.70%
22,5 Year Average Dividend Yield 4,2.52
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 05, 2020"
25,Ex-Dividend Date 4,"Feb 12, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 08, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-4.84%
31,Operating Margin (ttm),-6.79%
32,Return on Assets (ttm),-2.27%
33,Return on Equity (ttm),
34,Revenue (ttm),70.55B
35,Revenue Per Share (ttm),124.75
36,Quarterly Revenue Growth (yoy),-26.20%
37,Gross Profit (ttm),4.76B
38,EBITDA,-2.48B
39,Net Income Avi to Common (ttm),-3.41B
40,Diluted EPS (ttm),-6.03
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),15.53B
43,Total Cash Per Share (mrq),27.51
44,Total Debt (mrq),38.93B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.17
47,Book Value Per Share (mrq),-17.13
48,Operating Cash Flow (ttm),-9.54B
49,Levered Free Cash Flow (ttm),-7.77B
