,Attribute,Value
0,Beta (5Y Monthly),1.30
1,52-Week Change 3,-38.56%
2,S&P500 52-Week Change 3,
3,52 Week High 3,35.77
4,52 Week Low 3,14.91
5,50-Day Moving Average 3,20.26
6,200-Day Moving Average 3,21.52
7,Avg Vol (3 month) 3,4.52M
8,Avg Vol (10 day) 3,4.46M
9,Shares Outstanding 5,495.31M
10,Float,269.31M
11,% Held by Insiders 1,45.85%
12,% Held by Institutions 1,52.24%
13,"Shares Short (Jun 14, 2020) 4",31.21M
14,"Short Ratio (Jun 14, 2020) 4",7.32
15,"Short % of Float (Jun 14, 2020) 4",11.64%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.30%
17,"Shares Short (prior month May 14, 2020) 4",32.31M
18,Forward Annual Dividend Rate 4,1.08
19,Forward Annual Dividend Yield 4,5.12%
20,Trailing Annual Dividend Rate 3,1.06
21,Trailing Annual Dividend Yield 3,5.03%
22,5 Year Average Dividend Yield 4,2.55
23,Payout Ratio 4,54.36%
24,Dividend Date 3,"Apr 12, 2020"
25,Ex-Dividend Date 4,"Mar 29, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jul 25, 2013"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.29%
31,Operating Margin (ttm),27.35%
32,Return on Assets (ttm),6.72%
33,Return on Equity (ttm),8.71%
34,Revenue (ttm),5.68B
35,Revenue Per Share (ttm),11.44
36,Quarterly Revenue Growth (yoy),-6.70%
37,Gross Profit (ttm),2.38B
38,EBITDA,1.61B
39,Net Income Avi to Common (ttm),971.3M
40,Diluted EPS (ttm),1.96
41,Quarterly Earnings Growth (yoy),-78.50%
42,Total Cash (mrq),5.84B
43,Total Cash Per Share (mrq),11.79
44,Total Debt (mrq),1.01B
45,Total Debt/Equity (mrq),9.18
46,Current Ratio (mrq),4.91
47,Book Value Per Share (mrq),20.00
48,Operating Cash Flow (ttm),-101.6M
49,Levered Free Cash Flow (ttm),1.21B
