,Attribute,Value
0,Beta (5Y Monthly),1.08
1,52-Week Change 3,-8.50%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,150.55
4,52 Week Low 3,87.50
5,50-Day Moving Average 3,120.61
6,200-Day Moving Average 3,125.77
7,Avg Vol (3 month) 3,4.73M
8,Avg Vol (10 day) 3,3.86M
9,Shares Outstanding 5,541.24M
10,Float,540.82M
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,70.02%
13,"Shares Short (Jun 14, 2020) 4",8.87M
14,"Short Ratio (Jun 14, 2020) 4",2.19
15,"Short % of Float (Jun 14, 2020) 4",1.64%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.64%
17,"Shares Short (prior month May 14, 2020) 4",9.24M
18,Forward Annual Dividend Rate 4,4.12
19,Forward Annual Dividend Yield 4,3.30%
20,Trailing Annual Dividend Rate 3,4.12
21,Trailing Annual Dividend Yield 3,3.30%
22,5 Year Average Dividend Yield 4,3.04
23,Payout Ratio 4,41.71%
24,Dividend Date 3,"Aug 19, 2020"
25,Ex-Dividend Date 4,"Jul 16, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 13, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.41%
31,Operating Margin (ttm),14.77%
32,Return on Assets (ttm),6.09%
33,Return on Equity (ttm),35.69%
34,Revenue (ttm),50.97B
35,Revenue Per Share (ttm),91.80
36,Quarterly Revenue Growth (yoy),-21.00%
37,Gross Profit (ttm),14.46B
38,EBITDA,10B
39,Net Income Avi to Common (ttm),5.3B
40,Diluted EPS (ttm),9.46
41,Quarterly Earnings Growth (yoy),-41.90%
42,Total Cash (mrq),6.25B
43,Total Cash Per Share (mrq),11.53
44,Total Debt (mrq),37.13B
45,Total Debt/Equity (mrq),260.79
46,Current Ratio (mrq),1.42
47,Book Value Per Share (mrq),26.20
48,Operating Cash Flow (ttm),6.92B
49,Levered Free Cash Flow (ttm),5.06B
