,Attribute,Value
0,Beta (5Y Monthly),1.73
1,52-Week Change 3,-15.17%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,64.75
4,52 Week Low 3,29.17
5,50-Day Moving Average 3,44.48
6,200-Day Moving Average 3,50.48
7,Avg Vol (3 month) 3,2.43M
8,Avg Vol (10 day) 3,1.9M
9,Shares Outstanding 5,335.17M
10,Float,324.4M
11,% Held by Insiders 1,0.84%
12,% Held by Institutions 1,96.33%
13,"Shares Short (Jun 14, 2020) 4",8.75M
14,"Short Ratio (Jun 14, 2020) 4",3.26
15,"Short % of Float (Jun 14, 2020) 4",3.13%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.61%
17,"Shares Short (prior month May 14, 2020) 4",7.16M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jun 01, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.23%
31,Operating Margin (ttm),5.88%
32,Return on Assets (ttm),5.96%
33,Return on Equity (ttm),22.76%
34,Revenue (ttm),24.65B
35,Revenue Per Share (ttm),73.46
36,Quarterly Revenue Growth (yoy),14.70%
37,Gross Profit (ttm),5.21B
38,EBITDA,1.92B
39,Net Income Avi to Common (ttm),1.29B
40,Diluted EPS (ttm),3.80
41,Quarterly Earnings Growth (yoy),4.70%
42,Total Cash (mrq),628.45M
43,Total Cash Per Share (mrq),1.92
44,Total Debt (mrq),4.35B
45,Total Debt/Equity (mrq),70.49
46,Current Ratio (mrq),1.20
47,Book Value Per Share (mrq),18.72
48,Operating Cash Flow (ttm),1.48B
49,Levered Free Cash Flow (ttm),1.57B
