,Attribute,Value
0,Beta (5Y Monthly),0.88
1,52-Week Change 3,-6.74%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,80.90
4,52 Week Low 3,53.08
5,50-Day Moving Average 3,69.39
6,200-Day Moving Average 3,70.26
7,Avg Vol (3 month) 3,2.26M
8,Avg Vol (10 day) 3,2.76M
9,Shares Outstanding 5,304.35M
10,Float,293.33M
11,% Held by Insiders 1,3.63%
12,% Held by Institutions 1,86.01%
13,"Shares Short (Jun 14, 2020) 4",15.3M
14,"Short Ratio (Jun 14, 2020) 4",7.46
15,"Short % of Float (Jun 14, 2020) 4",5.66%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.03%
17,"Shares Short (prior month May 14, 2020) 4",14.97M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,1.05%
20,Trailing Annual Dividend Rate 3,0.72
21,Trailing Annual Dividend Yield 3,1.05%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,44.72%
24,Dividend Date 3,"Jul 16, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 30, 2013"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.93%
31,Operating Margin (ttm),12.37%
32,Return on Assets (ttm),6.44%
33,Return on Equity (ttm),11.35%
34,Revenue (ttm),5.71B
35,Revenue Per Share (ttm),18.17
36,Quarterly Revenue Growth (yoy),1.60%
37,Gross Profit (ttm),4.62B
38,EBITDA,1.17B
39,Net Income Avi to Common (ttm),510.39M
40,Diluted EPS (ttm),1.61
41,Quarterly Earnings Growth (yoy),-11.50%
42,Total Cash (mrq),398.78M
43,Total Cash Per Share (mrq),1.31
44,Total Debt (mrq),1.52B
45,Total Debt/Equity (mrq),39.30
46,Current Ratio (mrq),1.93
47,Book Value Per Share (mrq),12.70
48,Operating Cash Flow (ttm),1.28B
49,Levered Free Cash Flow (ttm),559.88M
