,Attribute,Value
0,Beta (5Y Monthly),0.31
1,52-Week Change 3,5.04%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,80.99
4,52 Week Low 3,47.98
5,50-Day Moving Average 3,74.27
6,200-Day Moving Average 3,71.53
7,Avg Vol (3 month) 3,1.57M
8,Avg Vol (10 day) 3,1.47M
9,Shares Outstanding 5,245.89M
10,Float,245.25M
11,% Held by Insiders 1,0.20%
12,% Held by Institutions 1,86.36%
13,"Shares Short (Jun 14, 2020) 4",7.37M
14,"Short Ratio (Jun 14, 2020) 4",4.84
15,"Short % of Float (Jun 14, 2020) 4",3.42%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.00%
17,"Shares Short (prior month May 14, 2020) 4",7.72M
18,Forward Annual Dividend Rate 4,0.96
19,Forward Annual Dividend Yield 4,1.25%
20,Trailing Annual Dividend Rate 3,0.92
21,Trailing Annual Dividend Yield 3,1.20%
22,5 Year Average Dividend Yield 4,1.44
23,Payout Ratio 4,34.68%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 01, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.96%
31,Operating Margin (ttm),19.67%
32,Return on Assets (ttm),8.19%
33,Return on Equity (ttm),25.20%
34,Revenue (ttm),4.48B
35,Revenue Per Share (ttm),18.20
36,Quarterly Revenue Growth (yoy),11.50%
37,Gross Profit (ttm),1.98B
38,EBITDA,1.05B
39,Net Income Avi to Common (ttm),670M
40,Diluted EPS (ttm),2.66
41,Quarterly Earnings Growth (yoy),30.80%
42,Total Cash (mrq),1.05B
43,Total Cash Per Share (mrq),4.26
44,Total Debt (mrq),2.95B
45,Total Debt/Equity (mrq),104.61
46,Current Ratio (mrq),1.03
47,Book Value Per Share (mrq),11.47
48,Operating Cash Flow (ttm),963.1M
49,Levered Free Cash Flow (ttm),729.2M
