,Attribute,Value
0,Beta (5Y Monthly),0.73
1,52-Week Change 3,20.82%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,74.70
4,52 Week Low 3,41.62
5,50-Day Moving Average 3,64.97
6,200-Day Moving Average 3,62.71
7,Avg Vol (3 month) 3,4.25M
8,Avg Vol (10 day) 3,4.5M
9,Shares Outstanding 5,579.13M
10,Float,568.22M
11,% Held by Insiders 1,1.90%
12,% Held by Institutions 1,81.16%
13,"Shares Short (Jun 14, 2020) 4",11.05M
14,"Short Ratio (Jun 14, 2020) 4",2.94
15,"Short % of Float (Jun 14, 2020) 4",2.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.91%
17,"Shares Short (prior month May 14, 2020) 4",9.75M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 06, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,1.08%
31,Operating Margin (ttm),3.06%
32,Return on Assets (ttm),2.99%
33,Return on Equity (ttm),4.73%
34,Revenue (ttm),78.1B
35,Revenue Per Share (ttm),174.97
36,Quarterly Revenue Growth (yoy),43.20%
37,Gross Profit (ttm),11.93B
38,EBITDA,3.17B
39,Net Income Avi to Common (ttm),845M
40,Diluted EPS (ttm),1.86
41,Quarterly Earnings Growth (yoy),-91.20%
42,Total Cash (mrq),10.69B
43,Total Cash Per Share (mrq),18.47
44,Total Debt (mrq),18.27B
45,Total Debt/Equity (mrq),77.12
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),40.66
48,Operating Cash Flow (ttm),-73M
49,Levered Free Cash Flow (ttm),1.75B
