,Attribute,Value
0,Beta (5Y Monthly),1.13
1,52-Week Change 3,11.05%
2,S&P500 52-Week Change 3,
3,52 Week High 3,104.88
4,52 Week Low 3,55.69
5,50-Day Moving Average 3,85.87
6,200-Day Moving Average 3,85.28
7,Avg Vol (3 month) 3,2.04M
8,Avg Vol (10 day) 3,1.58M
9,Shares Outstanding 5,234.78M
10,Float,206.89M
11,% Held by Insiders 1,13.29%
12,% Held by Institutions 1,81.49%
13,"Shares Short (Jun 14, 2020) 4",3.74M
14,"Short Ratio (Jun 14, 2020) 4",2.01
15,"Short % of Float (Jun 14, 2020) 4",1.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.59%
17,"Shares Short (prior month May 14, 2020) 4",4.44M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 10, 2017"
28,Fiscal Year Ends,"Jul 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,30.95%
31,Operating Margin (ttm),36.14%
32,Return on Assets (ttm),18.08%
33,Return on Equity (ttm),35.28%
34,Revenue (ttm),2.22B
35,Revenue Per Share (ttm),9.59
36,Quarterly Revenue Growth (yoy),-0.50%
37,Gross Profit (ttm),930.74M
38,EBITDA,891.11M
39,Net Income Avi to Common (ttm),687.87M
40,Diluted EPS (ttm),2.88
41,Quarterly Earnings Growth (yoy),-23.50%
42,Total Cash (mrq),306.39M
43,Total Cash Per Share (mrq),1.3
44,Total Debt (mrq),516.29M
45,Total Debt/Equity (mrq),22.63
46,Current Ratio (mrq),2.77
47,Book Value Per Share (mrq),9.72
48,Operating Cash Flow (ttm),844.12M
49,Levered Free Cash Flow (ttm),1.99M
