,Attribute,Value
0,Beta (5Y Monthly),1.08
1,52-Week Change 3,24.13%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,195.72
4,52 Week Low 3,115.29
5,50-Day Moving Average 3,177.79
6,200-Day Moving Average 3,168.67
7,Avg Vol (3 month) 3,6.99M
8,Avg Vol (10 day) 3,6.69M
9,Shares Outstanding 5,901M
10,Float,866.52M
11,% Held by Insiders 1,3.80%
12,% Held by Institutions 1,85.16%
13,"Shares Short (Jun 14, 2020) 4",13.74M
14,"Short Ratio (Jun 14, 2020) 4",1.96
15,"Short % of Float (Jun 14, 2020) 4",1.77%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.52%
17,"Shares Short (prior month May 14, 2020) 4",17.14M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,4:1
27,Last Split Date 3,"Apr 17, 2013"
28,Fiscal Year Ends,"Jan 30, 2020"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,-0.92%
31,Operating Margin (ttm),0.84%
32,Return on Assets (ttm),0.22%
33,Return on Equity (ttm),-0.65%
34,Revenue (ttm),18.23B
35,Revenue Per Share (ttm),21.19
36,Quarterly Revenue Growth (yoy),30.20%
37,Gross Profit (ttm),12.86B
38,EBITDA,2.05B
39,Net Income Avi to Common (ttm),-167M
40,Diluted EPS (ttm),-0.19
41,Quarterly Earnings Growth (yoy),-74.70%
42,Total Cash (mrq),9.8B
43,Total Cash Per Share (mrq),10.88
44,Total Debt (mrq),6.21B
45,Total Debt/Equity (mrq),17.97
46,Current Ratio (mrq),1.15
47,Book Value Per Share (mrq),38.45
48,Operating Cash Flow (ttm),4.22B
49,Levered Free Cash Flow (ttm),5.58B
