,Attribute,Value
0,Beta (5Y Monthly),1.62
1,52-Week Change 3,25.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,62.54
4,52 Week Low 3,25.51
5,50-Day Moving Average 3,53.61
6,200-Day Moving Average 3,50.52
7,Avg Vol (3 month) 3,4.84M
8,Avg Vol (10 day) 3,4.22M
9,Shares Outstanding 5,363.54M
10,Float,328.94M
11,% Held by Insiders 1,8.51%
12,% Held by Institutions 1,87.91%
13,"Shares Short (Jun 14, 2020) 4",4.65M
14,"Short Ratio (Jun 14, 2020) 4",1
15,"Short % of Float (Jun 14, 2020) 4",1.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.28%
17,"Shares Short (prior month May 14, 2020) 4",6.64M
18,Forward Annual Dividend Rate 4,0.7
19,Forward Annual Dividend Yield 4,1.29%
20,Trailing Annual Dividend Rate 3,0.65
21,Trailing Annual Dividend Yield 3,1.20%
22,5 Year Average Dividend Yield 4,1.11
23,Payout Ratio 4,12.82%
24,Dividend Date 3,"May 20, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,4:3
27,Last Split Date 3,"Mar 16, 2005"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.26%
31,Operating Margin (ttm),12.87%
32,Return on Assets (ttm),9.24%
33,Return on Equity (ttm),18.69%
34,Revenue (ttm),18.47B
35,Revenue Per Share (ttm),50.04
36,Quarterly Revenue Growth (yoy),9.00%
37,Gross Profit (ttm),3.65B
38,EBITDA,2.45B
39,Net Income Avi to Common (ttm),1.89B
40,Diluted EPS (ttm),5.07
41,Quarterly Earnings Growth (yoy),37.40%
42,Total Cash (mrq),1.48B
43,Total Cash Per Share (mrq),4.06
44,Total Debt (mrq),4.43B
45,Total Debt/Equity (mrq),41.26
46,Current Ratio (mrq),5.28
47,Book Value Per Share (mrq),28.77
48,Operating Cash Flow (ttm),958.7M
49,Levered Free Cash Flow (ttm),907.63M
