,Attribute,Value
0,Beta (5Y Monthly),1.11
1,52-Week Change 3,-20.25%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,153.41
4,52 Week Low 3,79.07
5,50-Day Moving Average 3,116.00
6,200-Day Moving Average 3,121.75
7,Avg Vol (3 month) 3,18.91M
8,Avg Vol (10 day) 3,14.68M
9,Shares Outstanding 5,1.81B
10,Float,1.8B
11,% Held by Insiders 1,0.20%
12,% Held by Institutions 1,66.29%
13,"Shares Short (Jun 14, 2020) 4",28.63M
14,"Short Ratio (Jun 14, 2020) 4",1.61
15,"Short % of Float (Jun 14, 2020) 4",1.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.59%
17,"Shares Short (prior month May 14, 2020) 4",25.24M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.88
21,Trailing Annual Dividend Yield 3,0.79%
22,5 Year Average Dividend Yield 4,1.45
23,Payout Ratio 4,76.86%
24,Dividend Date 3,"Jan 15, 2020"
25,Ex-Dividend Date 4,"Dec 12, 2019"
26,Last Split Factor 2,10000:9865
27,Last Split Date 3,"Jun 12, 2007"
28,Fiscal Year Ends,"Sep 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.88%
31,Operating Margin (ttm),11.91%
32,Return on Assets (ttm),2.77%
33,Return on Equity (ttm),5.01%
34,Revenue (ttm),78.21B
35,Revenue Per Share (ttm),43.35
36,Quarterly Revenue Growth (yoy),20.70%
37,Gross Profit (ttm),27.55B
38,EBITDA,14.54B
39,Net Income Avi to Common (ttm),4.83B
40,Diluted EPS (ttm),2.97
41,Quarterly Earnings Growth (yoy),-91.60%
42,Total Cash (mrq),14.34B
43,Total Cash Per Share (mrq),7.94
44,Total Debt (mrq),59.56B
45,Total Debt/Equity (mrq),57.28
46,Current Ratio (mrq),0.94
47,Book Value Per Share (mrq),50.59
48,Operating Cash Flow (ttm),5.42B
49,Levered Free Cash Flow (ttm),7.43B
