,Attribute,Value
0,Beta (5Y Monthly),1.75
1,52-Week Change 3,-11.82%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,44.66
4,52 Week Low 3,17.09
5,50-Day Moving Average 3,31.24
6,200-Day Moving Average 3,30.60
7,Avg Vol (3 month) 3,3.45M
8,Avg Vol (10 day) 3,3.65M
9,Shares Outstanding 5,285.73M
10,Float,242.57M
11,% Held by Insiders 1,14.37%
12,% Held by Institutions 1,84.14%
13,"Shares Short (Jun 14, 2020) 4",11.83M
14,"Short Ratio (Jun 14, 2020) 4",3.24
15,"Short % of Float (Jun 14, 2020) 4",5.48%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.26%
17,"Shares Short (prior month May 14, 2020) 4",11.51M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Dec 27, 2012"
25,Ex-Dividend Date 4,"Dec 11, 2012"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 22, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.82%
31,Operating Margin (ttm),14.98%
32,Return on Assets (ttm),3.68%
33,Return on Equity (ttm),11.36%
34,Revenue (ttm),12.84B
35,Revenue Per Share (ttm),26.02
36,Quarterly Revenue Growth (yoy),0.90%
37,Gross Profit (ttm),4.27B
38,EBITDA,2.57B
39,Net Income Avi to Common (ttm),1.13B
40,Diluted EPS (ttm),2.05
41,Quarterly Earnings Growth (yoy),-78.50%
42,Total Cash (mrq),3.39B
43,Total Cash Per Share (mrq),6.46
44,Total Debt (mrq),14.29B
45,Total Debt/Equity (mrq),116.79
46,Current Ratio (mrq),1.00
47,Book Value Per Share (mrq),22.28
48,Operating Cash Flow (ttm),2.81B
49,Levered Free Cash Flow (ttm),372.91M
