,Attribute,Value
0,Beta (5Y Monthly),2.22
1,52-Week Change 3,-59.97%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,111.84
4,52 Week Low 3,14.55
5,50-Day Moving Average 3,45.05
6,200-Day Moving Average 3,56.22
7,Avg Vol (3 month) 3,4.01M
8,Avg Vol (10 day) 3,3.19M
9,Shares Outstanding 5,157.82M
10,Float,156.86M
11,% Held by Insiders 1,0.70%
12,% Held by Institutions 1,102.05%
13,"Shares Short (Jun 14, 2020) 4",6.53M
14,"Short Ratio (Jun 14, 2020) 4",2.35
15,"Short % of Float (Jun 14, 2020) 4",5.47%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.14%
17,"Shares Short (prior month May 14, 2020) 4",7.43M
18,Forward Annual Dividend Rate 4,1.5
19,Forward Annual Dividend Yield 4,3.58%
20,Trailing Annual Dividend Rate 3,1.12
21,Trailing Annual Dividend Yield 3,2.58%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"May 20, 2020"
25,Ex-Dividend Date 4,"May 12, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-1.10%
31,Operating Margin (ttm),56.21%
32,Return on Assets (ttm),5.85%
33,Return on Equity (ttm),-0.89%
34,Revenue (ttm),3.8B
35,Revenue Per Share (ttm),23.49
36,Quarterly Revenue Growth (yoy),4.30%
37,Gross Profit (ttm),3.1B
38,EBITDA,3.68B
39,Net Income Avi to Common (ttm),-42M
40,Diluted EPS (ttm),-0.26
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),149M
43,Total Cash Per Share (mrq),0.94
44,Total Debt (mrq),5.7B
45,Total Debt/Equity (mrq),39.78
46,Current Ratio (mrq),0.95
47,Book Value Per Share (mrq),81.27
48,Operating Cash Flow (ttm),3.21B
49,Levered Free Cash Flow (ttm),-1.36B
