,Attribute,Value
0,Beta (5Y Monthly),0.84
1,52-Week Change 3,6.88%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,125.05
4,52 Week Low 3,73.50
5,50-Day Moving Average 3,103.61
6,200-Day Moving Average 3,107.22
7,Avg Vol (3 month) 3,4.63M
8,Avg Vol (10 day) 3,4.56M
9,Shares Outstanding 5,669.48M
10,Float,556.43M
11,% Held by Insiders 1,0.46%
12,% Held by Institutions 1,94.66%
13,"Shares Short (Jun 14, 2020) 4",15.09M
14,"Short Ratio (Jun 14, 2020) 4",3.38
15,"Short % of Float (Jun 14, 2020) 4",2.71%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.25%
17,"Shares Short (prior month May 14, 2020) 4",13.54M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 19, 2018"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.51%
31,Operating Margin (ttm),13.80%
32,Return on Assets (ttm),2.55%
33,Return on Equity (ttm),5.93%
34,Revenue (ttm),12.45B
35,Revenue Per Share (ttm),21.33
36,Quarterly Revenue Growth (yoy),150.90%
37,Gross Profit (ttm),4.93B
38,EBITDA,4B
39,Net Income Avi to Common (ttm),1.06B
40,Diluted EPS (ttm),1.79
41,Quarterly Earnings Growth (yoy),74.20%
42,Total Cash (mrq),896M
43,Total Cash Per Share (mrq),1.34
44,Total Debt (mrq),21.97B
45,Total Debt/Equity (mrq),65.49
46,Current Ratio (mrq),1.07
47,Book Value Per Share (mrq),47.24
48,Operating Cash Flow (ttm),3.44B
49,Levered Free Cash Flow (ttm),2.06B
