,Attribute,Value
0,Beta (5Y Monthly),1.49
1,52-Week Change 3,-12.09%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,329.85
4,52 Week Low 3,168.51
5,50-Day Moving Average 3,250.16
6,200-Day Moving Average 3,261.12
7,Avg Vol (3 month) 3,956.03k
8,Avg Vol (10 day) 3,825.73k
9,Shares Outstanding 5,83.8M
10,Float,82.14M
11,% Held by Insiders 1,1.84%
12,% Held by Institutions 1,98.58%
13,"Shares Short (Jun 14, 2020) 4",3.14M
14,"Short Ratio (Jun 14, 2020) 4",3.44
15,"Short % of Float (Jun 14, 2020) 4",4.32%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.74%
17,"Shares Short (prior month May 14, 2020) 4",2.72M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,32.37%
31,Operating Margin (ttm),44.87%
32,Return on Assets (ttm),6.61%
33,Return on Equity (ttm),27.50%
34,Revenue (ttm),2.69B
35,Revenue Per Share (ttm),31.21
36,Quarterly Revenue Growth (yoy),6.30%
37,Gross Profit (ttm),2.14B
38,EBITDA,1.44B
39,Net Income Avi to Common (ttm),870.03M
40,Diluted EPS (ttm),9.69
41,Quarterly Earnings Growth (yoy),-14.60%
42,Total Cash (mrq),1.07B
43,Total Cash Per Share (mrq),12.78
44,Total Debt (mrq),5.26B
45,Total Debt/Equity (mrq),187.98
46,Current Ratio (mrq),0.93
47,Book Value Per Share (mrq),33.38
48,Operating Cash Flow (ttm),1.28B
49,Levered Free Cash Flow (ttm),763.87M
