,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,-26.77%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,38.84
4,52 Week Low 3,19.13
5,50-Day Moving Average 3,27.80
6,200-Day Moving Average 3,30.26
7,Avg Vol (3 month) 3,1.41M
8,Avg Vol (10 day) 3,1.62M
9,Shares Outstanding 5,261.08M
10,Float,461.74M
11,% Held by Insiders 1,39.56%
12,% Held by Institutions 1,59.57%
13,"Shares Short (Jun 14, 2020) 4",2.11M
14,"Short Ratio (Jun 14, 2020) 4",1.78
15,"Short % of Float (Jun 14, 2020) 4",1.34%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.35%
17,"Shares Short (prior month May 14, 2020) 4",2.2M
18,Forward Annual Dividend Rate 4,0.46
19,Forward Annual Dividend Yield 4,1.70%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,2.58%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,32.09%
24,Dividend Date 3,"Mar 31, 2020"
25,Ex-Dividend Date 4,"Mar 02, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.74%
31,Operating Margin (ttm),20.12%
32,Return on Assets (ttm),8.23%
33,Return on Equity (ttm),14.44%
34,Revenue (ttm),12.4B
35,Revenue Per Share (ttm),20.11
36,Quarterly Revenue Growth (yoy),25.00%
37,Gross Profit (ttm),4.06B
38,EBITDA,2.75B
39,Net Income Avi to Common (ttm),1.33B
40,Diluted EPS (ttm),2.15
41,Quarterly Earnings Growth (yoy),-85.30%
42,Total Cash (mrq),3.2B
43,Total Cash Per Share (mrq),5.29
44,Total Debt (mrq),7.32B
45,Total Debt/Equity (mrq),70.44
46,Current Ratio (mrq),3.79
47,Book Value Per Share (mrq),16.75
48,Operating Cash Flow (ttm),2.24B
49,Levered Free Cash Flow (ttm),1.4B
