,Attribute,Value
0,Beta (5Y Monthly),1.25
1,52-Week Change 3,-17.00%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,83.18
4,52 Week Low 3,37.31
5,50-Day Moving Average 3,63.16
6,200-Day Moving Average 3,66.72
7,Avg Vol (3 month) 3,2.45M
8,Avg Vol (10 day) 3,2.8M
9,Shares Outstanding 5,336.86M
10,Float,308.37M
11,% Held by Insiders 1,10.06%
12,% Held by Institutions 1,85.35%
13,"Shares Short (Jun 14, 2020) 4",5.61M
14,"Short Ratio (Jun 14, 2020) 4",2.37
15,"Short % of Float (Jun 14, 2020) 4",2.22%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.66%
17,"Shares Short (prior month May 14, 2020) 4",6.31M
18,Forward Annual Dividend Rate 4,0.28
19,Forward Annual Dividend Yield 4,0.42%
20,Trailing Annual Dividend Rate 3,0.28
21,Trailing Annual Dividend Yield 3,0.41%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,17.83%
24,Dividend Date 3,"Jun 25, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 26, 2020"
30,Profit Margin,8.28%
31,Operating Margin (ttm),15.69%
32,Return on Assets (ttm),4.48%
33,Return on Equity (ttm),8.55%
34,Revenue (ttm),7.44B
35,Revenue Per Share (ttm),22.13
36,Quarterly Revenue Growth (yoy),7.60%
37,Gross Profit (ttm),3.7B
38,EBITDA,1.63B
39,Net Income Avi to Common (ttm),534.7M
40,Diluted EPS (ttm),1.61
41,Quarterly Earnings Growth (yoy),-74.50%
42,Total Cash (mrq),1.04B
43,Total Cash Per Share (mrq),3.09
44,Total Debt (mrq),6.28B
45,Total Debt/Equity (mrq),86.64
46,Current Ratio (mrq),1.62
47,Book Value Per Share (mrq),21.50
48,Operating Cash Flow (ttm),1.31B
49,Levered Free Cash Flow (ttm),971.5M
