,Attribute,Value
0,Beta (5Y Monthly),1.10
1,52-Week Change 3,-18.78%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,111.43
4,52 Week Low 3,56.74
5,50-Day Moving Average 3,76.18
6,200-Day Moving Average 3,87.67
7,Avg Vol (3 month) 3,699.29k
8,Avg Vol (10 day) 3,712.58k
9,Shares Outstanding 5,106.44M
10,Float,97.53M
11,% Held by Insiders 1,2.13%
12,% Held by Institutions 1,78.74%
13,"Shares Short (Jun 14, 2020) 4",1.63M
14,"Short Ratio (Jun 14, 2020) 4",2.25
15,"Short % of Float (Jun 14, 2020) 4",1.76%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.53%
17,"Shares Short (prior month May 14, 2020) 4",2.38M
18,Forward Annual Dividend Rate 4,0.75
19,Forward Annual Dividend Yield 4,1.05%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,0.95%
22,5 Year Average Dividend Yield 4,0.79
23,Payout Ratio 4,10.52%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jul 01, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jul 01, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.32%
31,Operating Margin (ttm),22.05%
32,Return on Assets (ttm),2.53%
33,Return on Equity (ttm),11.80%
34,Revenue (ttm),4.54B
35,Revenue Per Share (ttm),41.87
36,Quarterly Revenue Growth (yoy),1.20%
37,Gross Profit (ttm),1.32B
38,EBITDA,1.02B
39,Net Income Avi to Common (ttm),741.03M
40,Diluted EPS (ttm),6.83
41,Quarterly Earnings Growth (yoy),-10.70%
42,Total Cash (mrq),362.97M
43,Total Cash Per Share (mrq),3.41
44,Total Debt (mrq),1.8B
45,Total Debt/Equity (mrq),27.68
46,Current Ratio (mrq),0.49
47,Book Value Per Share (mrq),67.43
48,Operating Cash Flow (ttm),1.28B
49,Levered Free Cash Flow (ttm),1.06B
