,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,17.99%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,259.29
4,52 Week Low 3,140.63
5,50-Day Moving Average 3,244.54
6,200-Day Moving Average 3,223.00
7,Avg Vol (3 month) 3,5.59M
8,Avg Vol (10 day) 3,4.71M
9,Shares Outstanding 5,1.08B
10,Float,1.07B
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,72.20%
13,"Shares Short (Jun 14, 2020) 4",8.85M
14,"Short Ratio (Jun 14, 2020) 4",1.53
15,"Short % of Float (Jun 14, 2020) 4",0.82%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.82%
17,"Shares Short (prior month May 14, 2020) 4",10.25M
18,Forward Annual Dividend Rate 4,6
19,Forward Annual Dividend Yield 4,2.45%
20,Trailing Annual Dividend Rate 3,5.72
21,Trailing Annual Dividend Yield 3,2.33%
22,5 Year Average Dividend Yield 4,2.08
23,Payout Ratio 4,55.47%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"Jun 02, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Dec 30, 1999"
28,Fiscal Year Ends,"Feb 01, 2020"
29,Most Recent Quarter (mrq),"May 02, 2020"
30,Profit Margin,9.79%
31,Operating Margin (ttm),13.85%
32,Return on Assets (ttm),17.60%
33,Return on Equity (ttm),
34,Revenue (ttm),112.1B
35,Revenue Per Share (ttm),103.23
36,Quarterly Revenue Growth (yoy),7.10%
37,Gross Profit (ttm),37.57B
38,EBITDA,17.88B
39,Net Income Avi to Common (ttm),10.97B
40,Diluted EPS (ttm),10.07
41,Quarterly Earnings Growth (yoy),-10.70%
42,Total Cash (mrq),8.7B
43,Total Cash Per Share (mrq),8.09
44,Total Debt (mrq),41.75B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.17
47,Book Value Per Share (mrq),-3.24
48,Operating Cash Flow (ttm),14.75B
49,Levered Free Cash Flow (ttm),9.92B
