,Attribute,Value
0,Beta (5Y Monthly),1.74
1,52-Week Change 3,-35.96%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,58.88
4,52 Week Low 3,18.48
5,50-Day Moving Average 3,31.48
6,200-Day Moving Average 3,35.61
7,Avg Vol (3 month) 3,2.38M
8,Avg Vol (10 day) 3,2.21M
9,Shares Outstanding 5,161.89M
10,Float,159.75M
11,% Held by Insiders 1,0.80%
12,% Held by Institutions 1,87.77%
13,"Shares Short (Jun 14, 2020) 4",6.27M
14,"Short Ratio (Jun 14, 2020) 4",2.87
15,"Short % of Float (Jun 14, 2020) 4",4.37%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.87%
17,"Shares Short (prior month May 14, 2020) 4",6.6M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,4.73%
20,Trailing Annual Dividend Rate 3,1.36
21,Trailing Annual Dividend Yield 3,4.59%
22,5 Year Average Dividend Yield 4,3.42
23,Payout Ratio 4,107.94%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,1:1
27,Last Split Date 3,"Aug 21, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,1.26%
31,Operating Margin (ttm),3.81%
32,Return on Assets (ttm),3.46%
33,Return on Equity (ttm),4.76%
34,Revenue (ttm),16.99B
35,Revenue Per Share (ttm),103.57
36,Quarterly Revenue Growth (yoy),-12.70%
37,Gross Profit (ttm),2.29B
38,EBITDA,1.03B
39,Net Income Avi to Common (ttm),214.04M
40,Diluted EPS (ttm),1.30
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),909.13M
43,Total Cash Per Share (mrq),5.65
44,Total Debt (mrq),2.96B
45,Total Debt/Equity (mrq),48.49
46,Current Ratio (mrq),1.92
47,Book Value Per Share (mrq),34.78
48,Operating Cash Flow (ttm),1.52B
49,Levered Free Cash Flow (ttm),1.44B
