,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,13.64%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,55.96
4,52 Week Low 3,26.49
5,50-Day Moving Average 3,52.69
6,200-Day Moving Average 3,48.69
7,Avg Vol (3 month) 3,2.96M
8,Avg Vol (10 day) 3,3.38M
9,Shares Outstanding 5,258.21M
10,Float,255.91M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,99.57%
13,"Shares Short (Jun 14, 2020) 4",4.13M
14,"Short Ratio (Jun 14, 2020) 4",1.7
15,"Short % of Float (Jun 14, 2020) 4",2.24%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.60%
17,"Shares Short (prior month May 14, 2020) 4",3.67M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 02, 2008"
28,Fiscal Year Ends,"Sep 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,13.62%
31,Operating Margin (ttm),18.70%
32,Return on Assets (ttm),5.82%
33,Return on Equity (ttm),21.22%
34,Revenue (ttm),3.32B
35,Revenue Per Share (ttm),12.44
36,Quarterly Revenue Growth (yoy),-7.60%
37,Gross Profit (ttm),2.08B
38,EBITDA,1.04B
39,Net Income Avi to Common (ttm),452.9M
40,Diluted EPS (ttm),1.68
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),799.8M
43,Total Cash Per Share (mrq),3.1
44,Total Debt (mrq),3.69B
45,Total Debt/Equity (mrq),176.42
46,Current Ratio (mrq),1.31
47,Book Value Per Share (mrq),8.08
48,Operating Cash Flow (ttm),643M
49,Levered Free Cash Flow (ttm),543.24M
