,Attribute,Value
0,Beta (5Y Monthly),1.30
1,52-Week Change 3,-40.40%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,18.90
4,52 Week Low 3,7.86
5,50-Day Moving Average 3,11.86
6,200-Day Moving Average 3,13.93
7,Avg Vol (3 month) 3,13.7M
8,Avg Vol (10 day) 3,16.87M
9,Shares Outstanding 5,704.96M
10,Float,697.23M
11,% Held by Insiders 1,1.18%
12,% Held by Institutions 1,103.92%
13,"Shares Short (Jun 14, 2020) 4",40.38M
14,"Short Ratio (Jun 14, 2020) 4",2.66
15,"Short % of Float (Jun 14, 2020) 4",8.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.73%
17,"Shares Short (prior month May 14, 2020) 4",47.64M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.80
21,Trailing Annual Dividend Yield 3,7.37%
22,5 Year Average Dividend Yield 4,4.66
23,Payout Ratio 4,79.54%
24,Dividend Date 3,"Apr 14, 2020"
25,Ex-Dividend Date 4,"Mar 29, 2020"
26,Last Split Factor 2,10215:10000
27,Last Split Date 3,"Nov 03, 2009"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.21%
31,Operating Margin (ttm),11.55%
32,Return on Assets (ttm),2.85%
33,Return on Equity (ttm),9.99%
34,Revenue (ttm),5.14B
35,Revenue Per Share (ttm),7.12
36,Quarterly Revenue Growth (yoy),-24.30%
37,Gross Profit (ttm),1.59B
38,EBITDA,1.25B
39,Net Income Avi to Common (ttm),731M
40,Diluted EPS (ttm),1.01
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.8B
43,Total Cash Per Share (mrq),3.97
44,Total Debt (mrq),5.9B
45,Total Debt/Equity (mrq),82.53
46,Current Ratio (mrq),12.77
47,Book Value Per Share (mrq),10.02
48,Operating Cash Flow (ttm),1.2B
49,Levered Free Cash Flow (ttm),1.03B
