,Attribute,Value
0,Beta (5Y Monthly),1.00
1,52-Week Change 3,-0.52%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,380.76
4,52 Week Low 3,196.78
5,50-Day Moving Average 3,350.12
6,200-Day Moving Average 3,310.25
7,Avg Vol (3 month) 3,1.08M
8,Avg Vol (10 day) 3,857.42k
9,Shares Outstanding 5,147M
10,Float,146.38M
11,% Held by Insiders 1,0.34%
12,% Held by Institutions 1,96.21%
13,"Shares Short (Jun 14, 2020) 4",3.09M
14,"Short Ratio (Jun 14, 2020) 4",2.94
15,"Short % of Float (Jun 14, 2020) 4",2.40%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.10%
17,"Shares Short (prior month May 14, 2020) 4",3.04M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 22, 2008"
28,Fiscal Year Ends,"Dec 28, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,26.49%
31,Operating Margin (ttm),28.49%
32,Return on Assets (ttm),8.64%
33,Return on Equity (ttm),21.48%
34,Revenue (ttm),3.56B
35,Revenue Per Share (ttm),24.19
36,Quarterly Revenue Growth (yoy),1.50%
37,Gross Profit (ttm),2.5B
38,EBITDA,1.2B
39,Net Income Avi to Common (ttm),942M
40,Diluted EPS (ttm),6.34
41,Quarterly Earnings Growth (yoy),-25.80%
42,Total Cash (mrq),3.33B
43,Total Cash Per Share (mrq),22.67
44,Total Debt (mrq),1.89B
45,Total Debt/Equity (mrq),40.84
46,Current Ratio (mrq),4.10
47,Book Value Per Share (mrq),31.53
48,Operating Cash Flow (ttm),1.13B
49,Levered Free Cash Flow (ttm),708.12M
