,Attribute,Value
0,Beta (5Y Monthly),0.80
1,52-Week Change 3,22.23%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,69.29
4,52 Week Low 3,43.63
5,50-Day Moving Average 3,60.90
6,200-Day Moving Average 3,59.36
7,Avg Vol (3 month) 3,25.91M
8,Avg Vol (10 day) 3,28.03M
9,Shares Outstanding 5,4.23B
10,Float,4.23B
11,% Held by Insiders 1,0.05%
12,% Held by Institutions 1,69.04%
13,"Shares Short (Jun 14, 2020) 4",38.86M
14,"Short Ratio (Jun 14, 2020) 4",1.72
15,"Short % of Float (Jun 14, 2020) 4",0.92%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.92%
17,"Shares Short (prior month May 14, 2020) 4",37.8M
18,Forward Annual Dividend Rate 4,1.32
19,Forward Annual Dividend Yield 4,2.26%
20,Trailing Annual Dividend Rate 3,1.27
21,Trailing Annual Dividend Yield 3,2.18%
22,5 Year Average Dividend Yield 4,2.63
23,Payout Ratio 4,24.76%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"May 05, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 30, 2000"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,30.02%
31,Operating Margin (ttm),33.61%
32,Return on Assets (ttm),11.48%
33,Return on Equity (ttm),30.31%
34,Revenue (ttm),75.73B
35,Revenue Per Share (ttm),17.37
36,Quarterly Revenue Growth (yoy),23.50%
37,Gross Profit (ttm),42.14B
38,EBITDA,36.71B
39,Net Income Avi to Common (ttm),22.73B
40,Diluted EPS (ttm),5.16
41,Quarterly Earnings Growth (yoy),42.50%
42,Total Cash (mrq),20.8B
43,Total Cash Per Share (mrq),4.91
44,Total Debt (mrq),39.92B
45,Total Debt/Equity (mrq),52.28
46,Current Ratio (mrq),1.74
47,Book Value Per Share (mrq),18.03
48,Operating Cash Flow (ttm),34.34B
49,Levered Free Cash Flow (ttm),13.24B
