,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,-47.56%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,21.10
4,52 Week Low 3,6.38
5,50-Day Moving Average 3,9.11
6,200-Day Moving Average 3,12.76
7,Avg Vol (3 month) 3,9M
8,Avg Vol (10 day) 3,10.18M
9,Shares Outstanding 5,458.9M
10,Float,374.69M
11,% Held by Insiders 1,1.59%
12,% Held by Institutions 1,89.05%
13,"Shares Short (Jun 14, 2020) 4",32.55M
14,"Short Ratio (Jun 14, 2020) 4",3.75
15,"Short % of Float (Jun 14, 2020) 4",8.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",7.09%
17,"Shares Short (prior month May 14, 2020) 4",26.9M
18,Forward Annual Dividend Rate 4,0.62
19,Forward Annual Dividend Yield 4,5.78%
20,Trailing Annual Dividend Rate 3,1.09
21,Trailing Annual Dividend Yield 3,10.11%
22,5 Year Average Dividend Yield 4,4.97
23,Payout Ratio 4,121.57%
24,Dividend Date 3,"Jun 02, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,25:10
27,Last Split Date 3,"Nov 07, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.02%
31,Operating Margin (ttm),25.11%
32,Return on Assets (ttm),2.95%
33,Return on Equity (ttm),5.66%
34,Revenue (ttm),6.5B
35,Revenue Per Share (ttm),14.41
36,Quarterly Revenue Growth (yoy),31.60%
37,Gross Profit (ttm),2.03B
38,EBITDA,1.82B
39,Net Income Avi to Common (ttm),468.5M
40,Diluted EPS (ttm),1.03
41,Quarterly Earnings Growth (yoy),-20.80%
42,Total Cash (mrq),966.3M
43,Total Cash Per Share (mrq),2.11
44,Total Debt (mrq),2.94B
45,Total Debt/Equity (mrq),20.84
46,Current Ratio (mrq),9.17
47,Book Value Per Share (mrq),20.68
48,Operating Cash Flow (ttm),1.16B
49,Levered Free Cash Flow (ttm),3.72B
