,Attribute,Value
0,Beta (5Y Monthly),0.97
1,52-Week Change 3,-16.41%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,27.57
4,52 Week Low 3,15.20
5,50-Day Moving Average 3,23.69
6,200-Day Moving Average 3,22.91
7,Avg Vol (3 month) 3,3.98M
8,Avg Vol (10 day) 3,4.4M
9,Shares Outstanding 5,331.35M
10,Float,327.37M
11,% Held by Insiders 1,1.22%
12,% Held by Institutions 1,96.01%
13,"Shares Short (Jun 14, 2020) 4",15.79M
14,"Short Ratio (Jun 14, 2020) 4",4.96
15,"Short % of Float (Jun 14, 2020) 4",6.61%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.77%
17,"Shares Short (prior month May 14, 2020) 4",14.11M
18,Forward Annual Dividend Rate 4,0.8
19,Forward Annual Dividend Yield 4,3.59%
20,Trailing Annual Dividend Rate 3,0.77
21,Trailing Annual Dividend Yield 3,3.46%
22,5 Year Average Dividend Yield 4,2.08
23,Payout Ratio 4,80.21%
24,Dividend Date 3,"Jun 21, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 15, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.53%
31,Operating Margin (ttm),10.91%
32,Return on Assets (ttm),3.41%
33,Return on Equity (ttm),7.23%
34,Revenue (ttm),4.44B
35,Revenue Per Share (ttm),13.11
36,Quarterly Revenue Growth (yoy),-0.40%
37,Gross Profit (ttm),2.62B
38,EBITDA,708.4M
39,Net Income Avi to Common (ttm),334.3M
40,Diluted EPS (ttm),0.97
41,Quarterly Earnings Growth (yoy),-34.40%
42,Total Cash (mrq),1.93B
43,Total Cash Per Share (mrq),5.82
44,Total Debt (mrq),1.87B
45,Total Debt/Equity (mrq),42.51
46,Current Ratio (mrq),1.93
47,Book Value Per Share (mrq),13.27
48,Operating Cash Flow (ttm),641.7M
49,Levered Free Cash Flow (ttm),535.68M
