,Attribute,Value
0,Beta (5Y Monthly),0.75
1,52-Week Change 3,-38.10%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,56.88
4,52 Week Low 3,27.33
5,50-Day Moving Average 3,33.31
6,200-Day Moving Average 3,41.78
7,Avg Vol (3 month) 3,1.53M
8,Avg Vol (10 day) 3,1.78M
9,Shares Outstanding 5,281.43M
10,Float,239.53M
11,% Held by Insiders 1,15.24%
12,% Held by Institutions 1,68.28%
13,"Shares Short (Jun 14, 2020) 4",3.81M
14,"Short Ratio (Jun 14, 2020) 4",2.48
15,"Short % of Float (Jun 14, 2020) 4",1.60%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.35%
17,"Shares Short (prior month May 14, 2020) 4",3.97M
18,Forward Annual Dividend Rate 4,0.25
19,Forward Annual Dividend Yield 4,0.74%
20,Trailing Annual Dividend Rate 3,0.25
21,Trailing Annual Dividend Yield 3,0.74%
22,5 Year Average Dividend Yield 4,0.56
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 08, 2020"
25,Ex-Dividend Date 4,"May 25, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"May 08, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-0.66%
31,Operating Margin (ttm),6.53%
32,Return on Assets (ttm),0.73%
33,Return on Equity (ttm),-2.77%
34,Revenue (ttm),14.25B
35,Revenue Per Share (ttm),47.98
36,Quarterly Revenue Growth (yoy),-17.50%
37,Gross Profit (ttm),6.64B
38,EBITDA,1.87B
39,Net Income Avi to Common (ttm),-94M
40,Diluted EPS (ttm),-0.32
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),4.69B
43,Total Cash Per Share (mrq),16.65
44,Total Debt (mrq),12B
45,Total Debt/Equity (mrq),62.57
46,Current Ratio (mrq),0.44
47,Book Value Per Share (mrq),60.28
48,Operating Cash Flow (ttm),1.99B
49,Levered Free Cash Flow (ttm),1.1B
