,Attribute,Value
0,Beta (5Y Monthly),1.57
1,52-Week Change 3,-12.72%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,55.42
4,52 Week Low 3,22.03
5,50-Day Moving Average 3,32.17
6,200-Day Moving Average 3,38.06
7,Avg Vol (3 month) 3,1.79M
8,Avg Vol (10 day) 3,1.4M
9,Shares Outstanding 5,132.28M
10,Float,130.64M
11,% Held by Insiders 1,1.18%
12,% Held by Institutions 1,75.32%
13,"Shares Short (Jun 14, 2020) 4",5.5M
14,"Short Ratio (Jun 14, 2020) 4",3.03
15,"Short % of Float (Jun 14, 2020) 4",5.36%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.16%
17,"Shares Short (prior month May 14, 2020) 4",6.36M
18,Forward Annual Dividend Rate 4,1.6
19,Forward Annual Dividend Yield 4,4.78%
20,Trailing Annual Dividend Rate 3,1.60
21,Trailing Annual Dividend Yield 3,4.78%
22,5 Year Average Dividend Yield 4,3.23
23,Payout Ratio 4,67.80%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 15, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.86%
31,Operating Margin (ttm),10.80%
32,Return on Assets (ttm),6.31%
33,Return on Equity (ttm),26.17%
34,Revenue (ttm),4.64B
35,Revenue Per Share (ttm),34.38
36,Quarterly Revenue Growth (yoy),-9.50%
37,Gross Profit (ttm),1.05B
38,EBITDA,685.6M
39,Net Income Avi to Common (ttm),318.3M
40,Diluted EPS (ttm),2.36
41,Quarterly Earnings Growth (yoy),-25.30%
42,Total Cash (mrq),505.8M
43,Total Cash Per Share (mrq),3.82
44,Total Debt (mrq),2.62B
45,Total Debt/Equity (mrq),211.84
46,Current Ratio (mrq),2.09
47,Book Value Per Share (mrq),9.36
48,Operating Cash Flow (ttm),647M
49,Levered Free Cash Flow (ttm),456.96M
