,Attribute,Value
0,Beta (5Y Monthly),0.97
1,52-Week Change 3,-0.20%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,442.53
4,52 Week Low 3,266.11
5,50-Day Moving Average 3,381.04
6,200-Day Moving Average 3,386.15
7,Avg Vol (3 month) 3,1.63M
8,Avg Vol (10 day) 3,2M
9,Shares Outstanding 5,280.44M
10,Float,237.81M
11,% Held by Insiders 1,0.07%
12,% Held by Institutions 1,80.38%
13,"Shares Short (Jun 14, 2020) 4",2.21M
14,"Short Ratio (Jun 14, 2020) 4",1.46
15,"Short % of Float (Jun 14, 2020) 4",0.93%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.79%
17,"Shares Short (prior month May 14, 2020) 4",2.4M
18,Forward Annual Dividend Rate 4,9.6
19,Forward Annual Dividend Yield 4,2.65%
20,Trailing Annual Dividend Rate 3,9.20
21,Trailing Annual Dividend Yield 3,2.54%
22,5 Year Average Dividend Yield 4,2.57
23,Payout Ratio 4,41.74%
24,Dividend Date 3,"Jun 25, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 03, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,10.21%
31,Operating Margin (ttm),12.82%
32,Return on Assets (ttm),10.10%
33,Return on Equity (ttm),207.79%
34,Revenue (ttm),61.13B
35,Revenue Per Share (ttm),216.99
36,Quarterly Revenue Growth (yoy),9.20%
37,Gross Profit (ttm),8.37B
38,EBITDA,8.94B
39,Net Income Avi to Common (ttm),6.24B
40,Diluted EPS (ttm),22.04
41,Quarterly Earnings Growth (yoy),0.80%
42,Total Cash (mrq),1.99B
43,Total Cash Per Share (mrq),7.09
44,Total Debt (mrq),12.69B
45,Total Debt/Equity (mrq),363.89
46,Current Ratio (mrq),1.23
47,Book Value Per Share (mrq),12.29
48,Operating Cash Flow (ttm),7.96B
49,Levered Free Cash Flow (ttm),4.77B
