,Attribute,Value
0,Beta (5Y Monthly),1.47
1,52-Week Change 3,24.11%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,50.10
4,52 Week Low 3,27.04
5,50-Day Moving Average 3,46.05
6,200-Day Moving Average 3,43.84
7,Avg Vol (3 month) 3,3.7M
8,Avg Vol (10 day) 3,3.77M
9,Shares Outstanding 5,263.76M
10,Float,262.1M
11,% Held by Insiders 1,0.76%
12,% Held by Institutions 1,100.95%
13,"Shares Short (Jun 14, 2020) 4",5.54M
14,"Short Ratio (Jun 14, 2020) 4",1.7
15,"Short % of Float (Jun 14, 2020) 4",2.41%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.10%
17,"Shares Short (prior month May 14, 2020) 4",7.25M
18,Forward Annual Dividend Rate 4,0.54
19,Forward Annual Dividend Yield 4,1.11%
20,Trailing Annual Dividend Rate 3,0.39
21,Trailing Annual Dividend Yield 3,0.80%
22,5 Year Average Dividend Yield 4,1.18
23,Payout Ratio 4,21.98%
24,Dividend Date 3,"Aug 09, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,1138:1000
27,Last Split Date 3,"Jun 30, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,19.91%
31,Operating Margin (ttm),16.12%
32,Return on Assets (ttm),13.07%
33,Return on Equity (ttm),
34,Revenue (ttm),6.78B
35,Revenue Per Share (ttm),24.02
36,Quarterly Revenue Growth (yoy),4.50%
37,Gross Profit (ttm),2.37B
38,EBITDA,1.25B
39,Net Income Avi to Common (ttm),656M
40,Diluted EPS (ttm),4.74
41,Quarterly Earnings Growth (yoy),356.90%
42,Total Cash (mrq),767M
43,Total Cash Per Share (mrq),2.91
44,Total Debt (mrq),2.93B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.83
47,Book Value Per Share (mrq),-1.32
48,Operating Cash Flow (ttm),872M
49,Levered Free Cash Flow (ttm),1.02B
