,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,15.18%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,182.91
4,52 Week Low 3,112.23
5,50-Day Moving Average 3,171.83
6,200-Day Moving Average 3,160.65
7,Avg Vol (3 month) 3,795.12k
8,Avg Vol (10 day) 3,773.54k
9,Shares Outstanding 5,123.64M
10,Float,130.79M
11,% Held by Insiders 1,0.07%
12,% Held by Institutions 1,85.06%
13,"Shares Short (Jun 14, 2020) 4",2.72M
14,"Short Ratio (Jun 14, 2020) 4",3.56
15,"Short % of Float (Jun 14, 2020) 4",
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.04%
17,"Shares Short (prior month May 14, 2020) 4",3.62M
18,Forward Annual Dividend Rate 4,2.48
19,Forward Annual Dividend Yield 4,1.39%
20,Trailing Annual Dividend Rate 3,2.33
21,Trailing Annual Dividend Yield 3,1.31%
22,5 Year Average Dividend Yield 4,1.69
23,Payout Ratio 4,44.72%
24,Dividend Date 3,"Apr 26, 2020"
25,Ex-Dividend Date 4,"Jul 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 08, 2002"
28,Fiscal Year Ends,"Nov 29, 2019"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,13.74%
31,Operating Margin (ttm),19.12%
32,Return on Assets (ttm),6.23%
33,Return on Equity (ttm),21.18%
34,Revenue (ttm),5.43B
35,Revenue Per Share (ttm),40.82
36,Quarterly Revenue Growth (yoy),7.60%
37,Gross Profit (ttm),2.15B
38,EBITDA,1.19B
39,Net Income Avi to Common (ttm),745.9M
40,Diluted EPS (ttm),5.56
41,Quarterly Earnings Growth (yoy),31.10%
42,Total Cash (mrq),185M
43,Total Cash Per Share (mrq),1.39
44,Total Debt (mrq),4.29B
45,Total Debt/Equity (mrq),117.06
46,Current Ratio (mrq),1.02
47,Book Value Per Share (mrq),27.42
48,Operating Cash Flow (ttm),988.1M
49,Levered Free Cash Flow (ttm),679.7M
