,Attribute,Value
0,Beta (5Y Monthly),1.35
1,52-Week Change 3,46.28%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,409.80
4,52 Week Low 3,213.99
5,50-Day Moving Average 3,385.86
6,200-Day Moving Average 3,325.14
7,Avg Vol (3 month) 3,2.23M
8,Avg Vol (10 day) 3,1.61M
9,Shares Outstanding 5,190.7M
10,Float,189.71M
11,% Held by Insiders 1,0.77%
12,% Held by Institutions 1,98.93%
13,"Shares Short (Jun 14, 2020) 4",5.99M
14,"Short Ratio (Jun 14, 2020) 4",3.24
15,"Short % of Float (Jun 14, 2020) 4",3.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.14%
17,"Shares Short (prior month May 14, 2020) 4",5.77M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.20%
31,Operating Margin (ttm),2.88%
32,Return on Assets (ttm),1.26%
33,Return on Equity (ttm),39.09%
34,Revenue (ttm),3.72B
35,Revenue Per Share (ttm),19.72
36,Quarterly Revenue Growth (yoy),32.60%
37,Gross Profit (ttm),2.66B
38,EBITDA,380.07M
39,Net Income Avi to Common (ttm),676.47M
40,Diluted EPS (ttm),3.36
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.86B
43,Total Cash Per Share (mrq),9.75
44,Total Debt (mrq),1.2B
45,Total Debt/Equity (mrq),53.09
46,Current Ratio (mrq),1.03
47,Book Value Per Share (mrq),11.88
48,Operating Cash Flow (ttm),1.37B
49,Levered Free Cash Flow (ttm),1.22B
