,Attribute,Value
0,Beta (5Y Monthly),1.45
1,52-Week Change 3,-24.83%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,58.70
4,52 Week Low 3,27.53
5,50-Day Moving Average 3,41.84
6,200-Day Moving Average 3,44.11
7,Avg Vol (3 month) 3,2.7M
8,Avg Vol (10 day) 3,2.28M
9,Shares Outstanding 5,301.14M
10,Float,299.2M
11,% Held by Insiders 1,0.65%
12,% Held by Institutions 1,81.57%
13,"Shares Short (Jun 14, 2020) 4",3.64M
14,"Short Ratio (Jun 14, 2020) 4",1.75
15,"Short % of Float (Jun 14, 2020) 4",1.39%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.21%
17,"Shares Short (prior month May 14, 2020) 4",5.24M
18,Forward Annual Dividend Rate 4,1.61
19,Forward Annual Dividend Yield 4,3.89%
20,Trailing Annual Dividend Rate 3,1.61
21,Trailing Annual Dividend Yield 3,3.87%
22,5 Year Average Dividend Yield 4,2.93
23,Payout Ratio 4,62.21%
24,Dividend Date 3,"Aug 10, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 31, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Apr 03, 2020"
30,Profit Margin,3.57%
31,Operating Margin (ttm),7.66%
32,Return on Assets (ttm),5.89%
33,Return on Equity (ttm),8.48%
34,Revenue (ttm),22.12B
35,Revenue Per Share (ttm),72.72
36,Quarterly Revenue Growth (yoy),-7.70%
37,Gross Profit (ttm),2.7B
38,EBITDA,2.48B
39,Net Income Avi to Common (ttm),783.97M
40,Diluted EPS (ttm),2.58
41,Quarterly Earnings Growth (yoy),-95.90%
42,Total Cash (mrq),1.39B
43,Total Cash Per Share (mrq),4.62
44,Total Debt (mrq),4.44B
45,Total Debt/Equity (mrq),41.93
46,Current Ratio (mrq),3.54
47,Book Value Per Share (mrq),33.77
48,Operating Cash Flow (ttm),2.36B
49,Levered Free Cash Flow (ttm),365.46M
