,Attribute,Value
0,Beta (5Y Monthly),1.49
1,52-Week Change 3,-12.82%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,15.07
4,52 Week Low 3,7.90
5,50-Day Moving Average 3,11.74
6,200-Day Moving Average 3,11.89
7,Avg Vol (3 month) 3,2.89M
8,Avg Vol (10 day) 3,2.64M
9,Shares Outstanding 5,388.86M
10,Float,507.1M
11,% Held by Insiders 1,0.58%
12,% Held by Institutions 1,101.46%
13,"Shares Short (Jun 14, 2020) 4",9.31M
14,"Short Ratio (Jun 14, 2020) 4",3.39
15,"Short % of Float (Jun 14, 2020) 4",2.41%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.58%
17,"Shares Short (prior month May 14, 2020) 4",8.56M
18,Forward Annual Dividend Rate 4,0.2
19,Forward Annual Dividend Yield 4,1.71%
20,Trailing Annual Dividend Rate 3,0.20
21,Trailing Annual Dividend Yield 3,1.70%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Apr 14, 2020"
25,Ex-Dividend Date 4,"Mar 09, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-9.66%
31,Operating Margin (ttm),4.70%
32,Return on Assets (ttm),1.84%
33,Return on Equity (ttm),-12.47%
34,Revenue (ttm),9.55B
35,Revenue Per Share (ttm),16.27
36,Quarterly Revenue Growth (yoy),-7.80%
37,Gross Profit (ttm),4.45B
38,EBITDA,880M
39,Net Income Avi to Common (ttm),-923M
40,Diluted EPS (ttm),-1.57
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.39B
43,Total Cash Per Share (mrq),2.36
44,Total Debt (mrq),2.55B
45,Total Debt/Equity (mrq),29.78
46,Current Ratio (mrq),1.39
47,Book Value Per Share (mrq),13.31
48,Operating Cash Flow (ttm),729M
49,Levered Free Cash Flow (ttm),221.75M
