,Attribute,Value
0,Beta (5Y Monthly),1.07
1,52-Week Change 3,63.82%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,171.77
4,52 Week Low 3,93.34
5,50-Day Moving Average 3,160.79
6,200-Day Moving Average 3,139.90
7,Avg Vol (3 month) 3,898.66k
8,Avg Vol (10 day) 3,786.27k
9,Shares Outstanding 5,117.95M
10,Float,100.66M
11,% Held by Insiders 1,12.90%
12,% Held by Institutions 1,79.55%
13,"Shares Short (Jun 14, 2020) 4",2.99M
14,"Short Ratio (Jun 14, 2020) 4",3.57
15,"Short % of Float (Jun 14, 2020) 4",3.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.54%
17,"Shares Short (prior month May 14, 2020) 4",3.13M
18,Forward Annual Dividend Rate 4,0.6
19,Forward Annual Dividend Yield 4,0.37%
20,Trailing Annual Dividend Rate 3,0.49
21,Trailing Annual Dividend Yield 3,0.30%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,9.64%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"Jun 01, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Mar 24, 2020"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.99%
31,Operating Margin (ttm),20.06%
32,Return on Assets (ttm),13.47%
33,Return on Equity (ttm),21.27%
34,Revenue (ttm),4.11B
35,Revenue Per Share (ttm),34.27
36,Quarterly Revenue Growth (yoy),-0.30%
37,Gross Profit (ttm),1.39B
38,EBITDA,1.08B
39,Net Income Avi to Common (ttm),615.37M
40,Diluted EPS (ttm),5.12
41,Quarterly Earnings Growth (yoy),-0.10%
42,Total Cash (mrq),356.97M
43,Total Cash Per Share (mrq),3.03
44,Total Debt (mrq),45M
45,Total Debt/Equity (mrq),1.49
46,Current Ratio (mrq),1.94
47,Book Value Per Share (mrq),25.53
48,Operating Cash Flow (ttm),981.73M
49,Levered Free Cash Flow (ttm),417.48M
