,Attribute,Value
0,Beta (5Y Monthly),0.58
1,52-Week Change 3,-18.45%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,63.88
4,52 Week Low 3,34.75
5,50-Day Moving Average 3,49.74
6,200-Day Moving Average 3,52.76
7,Avg Vol (3 month) 3,2.98M
8,Avg Vol (10 day) 3,2.33M
9,Shares Outstanding 5,505.62M
10,Float,504.92M
11,% Held by Insiders 1,0.06%
12,% Held by Institutions 1,72.25%
13,"Shares Short (Jun 14, 2020) 4",7M
14,"Short Ratio (Jun 14, 2020) 4",2.44
15,"Short % of Float (Jun 14, 2020) 4",1.39%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.39%
17,"Shares Short (prior month May 14, 2020) 4",6.79M
18,Forward Annual Dividend Rate 4,1.96
19,Forward Annual Dividend Yield 4,4.09%
20,Trailing Annual Dividend Rate 3,1.90
21,Trailing Annual Dividend Yield 3,3.96%
22,5 Year Average Dividend Yield 4,3.50
23,Payout Ratio 4,67.14%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 04, 2008"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.59%
31,Operating Margin (ttm),26.10%
32,Return on Assets (ttm),3.42%
33,Return on Equity (ttm),9.59%
34,Revenue (ttm),9.88B
35,Revenue Per Share (ttm),19.60
36,Quarterly Revenue Growth (yoy),-6.70%
37,Gross Profit (ttm),3.61B
38,EBITDA,4.01B
39,Net Income Avi to Common (ttm),1.44B
40,Diluted EPS (ttm),2.83
41,Quarterly Earnings Growth (yoy),-36.00%
42,Total Cash (mrq),799M
43,Total Cash Per Share (mrq),1.58
44,Total Debt (mrq),17.04B
45,Total Debt/Equity (mrq),111.76
46,Current Ratio (mrq),0.72
47,Book Value Per Share (mrq),30.26
48,Operating Cash Flow (ttm),3.31B
49,Levered Free Cash Flow (ttm),-425.88M
