,Attribute,Value
0,Beta (5Y Monthly),1.28
1,52-Week Change 3,0.64%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,114.78
4,52 Week Low 3,71.05
5,50-Day Moving Average 3,99.14
6,200-Day Moving Average 3,97.83
7,Avg Vol (3 month) 3,822.08k
8,Avg Vol (10 day) 3,1.07M
9,Shares Outstanding 5,94.84M
10,Float,92.45M
11,% Held by Insiders 1,1.52%
12,% Held by Institutions 1,94.95%
13,"Shares Short (Jun 14, 2020) 4",2.62M
14,"Short Ratio (Jun 14, 2020) 4",4.01
15,"Short % of Float (Jun 14, 2020) 4",3.61%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.76%
17,"Shares Short (prior month May 14, 2020) 4",1.72M
18,Forward Annual Dividend Rate 4,3.16
19,Forward Annual Dividend Yield 4,3.29%
20,Trailing Annual Dividend Rate 3,3.16
21,Trailing Annual Dividend Yield 3,3.29%
22,5 Year Average Dividend Yield 4,2.88
23,Payout Ratio 4,46.06%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.39%
31,Operating Margin (ttm),14.56%
32,Return on Assets (ttm),8.85%
33,Return on Equity (ttm),21.91%
34,Revenue (ttm),6.94B
35,Revenue Per Share (ttm),73.94
36,Quarterly Revenue Growth (yoy),-1.40%
37,Gross Profit (ttm),1.64B
38,EBITDA,1.4B
39,Net Income Avi to Common (ttm),646.3M
40,Diluted EPS (ttm),6.86
41,Quarterly Earnings Growth (yoy),-24.10%
42,Total Cash (mrq),856.3M
43,Total Cash Per Share (mrq),9.12
44,Total Debt (mrq),2.74B
45,Total Debt/Equity (mrq),86.86
46,Current Ratio (mrq),3.51
47,Book Value Per Share (mrq),33.53
48,Operating Cash Flow (ttm),1.21B
49,Levered Free Cash Flow (ttm),681M
