,Attribute,Value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,
2,S&P500 52-Week Change 3,
3,52 Week High 3,105.7
4,52 Week Low 3,62.91
5,50-Day Moving Average 3,97.31
6,200-Day Moving Average 3,90.64
7,Avg Vol (3 month) 3,944.58k
8,Avg Vol (10 day) 3,741.08k
9,Shares Outstanding 5,111.39M
10,Float,104.51M
11,% Held by Insiders 1,0.81%
12,% Held by Institutions 1,99.00%
13,"Shares Short (Jun 14, 2020) 4",2.92M
14,"Short Ratio (Jun 14, 2020) 4",3
15,"Short % of Float (Jun 14, 2020) 4",5.35%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.62%
17,"Shares Short (prior month May 14, 2020) 4",2.46M
18,Forward Annual Dividend Rate 4,0.28
19,Forward Annual Dividend Yield 4,0.29%
20,Trailing Annual Dividend Rate 3,0.28
21,Trailing Annual Dividend Yield 3,0.29%
22,5 Year Average Dividend Yield 4,0.42
23,Payout Ratio 4,13.86%
24,Dividend Date 3,"Aug 06, 2020"
25,Ex-Dividend Date 4,"Jul 15, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 03, 2001"
28,Fiscal Year Ends,"Dec 28, 2019"
29,Most Recent Quarter (mrq),"Apr 04, 2020"
30,Profit Margin,7.82%
31,Operating Margin (ttm),13.38%
32,Return on Assets (ttm),3.87%
33,Return on Equity (ttm),8.37%
34,Revenue (ttm),2.89B
35,Revenue Per Share (ttm),26.02
36,Quarterly Revenue Growth (yoy),0.60%
37,Gross Profit (ttm),1.42B
38,EBITDA,610.73M
39,Net Income Avi to Common (ttm),226.02M
40,Diluted EPS (ttm),2.02
41,Quarterly Earnings Growth (yoy),-4.90%
42,Total Cash (mrq),195.15M
43,Total Cash Per Share (mrq),1.75
44,Total Debt (mrq),2.2B
45,Total Debt/Equity (mrq),79.72
46,Current Ratio (mrq),1.84
47,Book Value Per Share (mrq),24.79
48,Operating Cash Flow (ttm),428.84M
49,Levered Free Cash Flow (ttm),378.95M
